model,relative_improvement
prompt_presence,0.017577430090983684
joint_address,0.028822957995074294
joint_added_vs_presence,0.011446732036227626
time_only,0.017588849137558173
energy_only,0.028961769711054217
joint_vs_energy_only,-0.0001429518546747844
multiplicity,0.02746193086226644
neutron_timing,-0.009991559083978953
strict_neutron_timing,-0.011467213995752797
