parent_bin,daughter_entropy,event_count
1,2.0762378245212547,40822
2,2.07881106389586,40398
3,2.079019635103738,40434
4,2.0789141759727654,40604
5,2.0791882991416206,41385
6,2.0793555358133293,40437
7,2.079389202233304,40481
8,2.079329286112319,40624
