time_us,observed_C,observed_AC,steady,BRN,NIN,prompt_nu_mu,delayed_nu_e_plus_anti_nu_mu
0.25,149.0,109.0,120.46706372337093,2.40153513902235,0.16630116834519004,30.540411729890394,8.20968216826963
0.75,207.0,121.0,117.52797442645037,14.170389943852328,1.125753202812616,29.544515914926677,53.31451318006499
1.25,168.0,113.0,114.66059141694386,0.1555169862741642,1.01794408239848,0.031237536268260313,47.895166917557184
1.75,146.0,121.0,111.86316524421025,0.0015285560938496324,0.7890568338957523,0.016051535456201717,37.21200096335429
2.25,126.0,125.0,109.13398913974505,0.001260962476186932,0.6130516716476763,0.012429469662045056,28.873364901972458
2.75,120.0,114.0,106.47139797584468,0.0009108860972937819,0.4763284540344181,0.010227004159610422,22.430744361226058
3.25,129.0,94.0,103.87376724967744,0.0007621907621716933,0.37070917672032533,0.008379792026040216,17.44577098955805
3.75,116.0,100.0,101.33951209214,0.0005219798366687057,0.2881347511279648,0.0060459490583360245,13.55810745012263
4.25,124.0,95.0,98.86708630089548,0.0004027638752336783,0.22278054018449728,0.004724750921521688,10.521402051695262
4.75,92.0,91.0,96.45498139700288,0.0003611995345964595,0.17389407483745417,0.003654806296638347,8.187042052814462
5.25,99.0,98.0,94.10172570456251,0.0002738119585459406,0.1354305390401789,0.002569648955864687,6.363471476995776
5.75,102.0,114.0,91.80588345281532,0.00021128446686021266,0.10460815586654214,0.0021012950227975637,4.931180044132763
