pe_low,pe_high,prompt_share,handover_time_us,cumulative_ara_at_handover,displacement_from_0_5
0,10,0.3710153183090532,0.736180061397787,0.8534546898249069,0.3534546898249069
10,20,0.27045340403665674,0.690445877375669,0.6346458916243135,0.1346458916243135
20,30,0.08645407260176363,0.48836477737599204,0.13576667055419986,-0.3642333294458001
30,40,0.02111460202540454,0.20369753439477906,0.0016881913675955936,-0.49831180863240443
40,50,0.026622575844152726,0.23874827653653205,0.004496039970697347,-0.49550396002930264
50,60,0.05576328083622522,0.3754861795043925,0.049047536449100225,-0.4509524635508998
