prompt_share,parent_asymmetry_delayed_minus_prompt,handover_time_us,cumulative_ara_at_handover,displacement_from_0_5
0.02,0.96,0.16406763149275524,0.0004357838661020768,-0.4995642161338979
0.025,0.95,0.20278465392820602,0.0014927735396658914,-0.49850722646033413
0.03,0.94,0.23662587905861154,0.003549292122361325,-0.4964507078776387
0.035,0.9299999999999999,0.2701216667209027,0.007237845231183774,-0.49276215476881624
0.04,0.92,0.30341580826598574,0.013257144587616648,-0.4867428554123834
0.045,0.91,0.33318844741479314,0.02140311460701233,-0.47859688539298767
0.05,0.9,0.3591927873736498,0.03127196341039394,-0.46872803658960605
0.05500000000000001,0.89,0.38220196364995856,0.042578767231758324,-0.45742123276824165
0.06,0.88,0.4029479664968311,0.055137503382555186,-0.4448624966174448
0.065,0.87,0.4219685855675242,0.06881746170760109,-0.43118253829239894
0.07,0.86,0.43949579136965883,0.08341399292920201,-0.41658600707079796
0.075,0.85,0.4556683671216246,0.09870499328473704,-0.40129500671526297
0.08,0.84,0.47067461252249937,0.11454523981144821,-0.3854547601885518
0.085,0.83,0.4846245594701462,0.13077583327721748,-0.3692241667227825
0.09000000000000001,0.82,0.49755436760586735,0.14720240671158744,-0.35279759328841254
0.095,0.81,0.5095277527998517,0.163677286468498,-0.336322713531502
0.1,0.8,0.5206781552564986,0.18015404110215508,-0.31984595889784495
0.10500000000000001,0.79,0.5310720278862091,0.19654908779935346,-0.30345091220064657
0.11,0.78,0.5407339013026802,0.21275644614636266,-0.2872435538536373
0.115,0.77,0.5497212799090981,0.22872649749618099,-0.271273502503819
0.12000000000000001,0.76,0.5580953347265033,0.24443303091486354,-0.25556696908513643
0.125,0.75,0.5659058525545032,0.2598535095358813,-0.24014649046411868
0.13,0.74,0.5732146074239796,0.2749944350249788,-0.22500556497502122
0.135,0.73,0.5800895634340516,0.28988346033196033,-0.21011653966803967
0.13999999999999999,0.72,0.5865830214296482,0.3045405061971588,-0.19545949380284122
0.145,0.71,0.5927351800965017,0.3189788686825822,-0.18102113131741782
0.15,0.7,0.5985890192105295,0.3332224525986789,-0.1667775474013211
0.155,0.69,0.6041713573721446,0.34727963897401987,-0.15272036102598013
0.16,0.6799999999999999,0.6095082897879457,0.36116270718173626,-0.13883729281826374
0.16499999999999998,0.67,0.6146192131917095,0.3748776543600178,-0.1251223456399822
0.16999999999999998,0.66,0.6195183789527222,0.3884274171844868,-0.11157258281551319
0.175,0.65,0.6242190997293398,0.4018148810512645,-0.0981851189487355
0.18,0.64,0.628733669286529,0.41504450555965405,-0.08495549444034595
0.185,0.63,0.6330720279387061,0.42811831096487896,-0.07188168903512104
0.19,0.62,0.6372477759673659,0.4410451853460341,-0.058954814653965903
0.195,0.61,0.6412732874077706,0.4538331612531421,-0.0461668387468579
0.19999999999999998,0.6000000000000001,0.6451574538059033,0.4664868827774147,-0.03351311722258532
0.205,0.5900000000000001,0.6489164804791341,0.47902178623963804,-0.020978213760361963
0.21,0.5800000000000001,0.652558508579771,0.4914436672665131,-0.008556332733486882
0.215,0.5700000000000001,0.6560902812364808,0.5037556821392336,0.003755682139233607
0.22,0.56,0.6595251019769459,0.515972726392656,0.01597272639265601
0.225,0.55,0.6628669763845678,0.528094899245282,0.028094899245281968
0.22999999999999998,0.54,0.6661187366686094,0.5401238980759452,0.040123898075945186
0.235,0.53,0.6692909905631234,0.5520705433980785,0.052070543398078484
0.24,0.52,0.6723848213418062,0.5639335495654184,0.06393354956541841
0.245,0.51,0.6754016380649893,0.575712351061573,0.07571235106157304
0.25,0.5,0.6783500104041772,0.5874160241246849,0.08741602412468485
0.255,0.49,0.681231312938622,0.5990445741803088,0.09904457418030876
0.26,0.48,0.684045411970758,0.6105962846198941,0.11059628461989413
0.265,0.47,0.6867980377083338,0.6220772117367142,0.12207721173671415
0.27,0.45999999999999996,0.6894957318156462,0.6334946360527826,0.13349463605278256
0.275,0.44999999999999996,0.692138767077638,0.6448462443576637,0.1448462443576637
0.28,0.43999999999999995,0.694725391066233,0.6561304908021621,0.15613049080216213
0.28500000000000003,0.42999999999999994,0.6972649151409751,0.6673573271395247,0.16735732713952467
0.29000000000000004,0.41999999999999993,0.6997605824531216,0.6785301137296228,0.1785301137296228
0.29500000000000004,0.4099999999999999,0.7022110310936789,0.6896463714661142,0.18964637146611418
0.30000000000000004,0.3999999999999999,0.7046151502946036,0.700704328215968,0.20070432821596795
0.30500000000000005,0.3899999999999999,0.70698127991453,0.7117126914690312,0.21171269146903116
0.31,0.38,0.7093112793813802,0.7226744941280536,0.22267449412805362
0.315,0.37,0.7116041900409642,0.7335872879518482,0.23358728795184824
0.32,0.36,0.7138595594767928,0.7444496071302521,0.2444496071302521
0.325,0.35,0.7160803018471539,0.7552654209977158,0.25526542099771576
0.33,0.33999999999999997,0.718274061656781,0.7660434346475006,0.2660434346475006
0.335,0.32999999999999996,0.7204390454669914,0.7767810341169921,0.27678103411699206
0.34,0.31999999999999995,0.7225744036089219,0.7874763793104069,0.2874763793104069
0.34500000000000003,0.30999999999999994,0.724679359280517,0.7981284313888827,0.2981284313888827
0.35000000000000003,0.29999999999999993,0.7267605316014922,0.808744957402256,0.30874495740225605
0.35500000000000004,0.2899999999999999,0.7288205958830427,0.8193287727303299,0.3193287727303299
0.36000000000000004,0.2799999999999999,0.7308573594794889,0.8298770608347127,0.3298770608347127
0.36500000000000005,0.2699999999999999,0.7328697881275497,0.8403884085364531,0.34038840853645314
0.37000000000000005,0.2599999999999999,0.7348573283619066,0.8508620058801043,0.3508620058801043
0.375,0.25,0.7368262183400225,0.8613047464993857,0.3613047464993857
0.38,0.24,0.7387778852796588,0.8717180568549343,0.3717180568549343
0.385,0.22999999999999998,0.7407102418496783,0.8820994484029954,0.38209944840299537
0.39,0.21999999999999997,0.7426221909740011,0.8924475986213225,0.3924475986213225
0.395,0.20999999999999996,0.7445127817520151,0.9027613995441306,0.4027613995441306
0.4,0.19999999999999996,0.7463883633853925,0.9130470457063217,0.41304704570632167
0.405,0.18999999999999995,0.7482513121785939,0.9233074871032562,0.42330748710325616
0.41000000000000003,0.17999999999999994,0.7500992849223379,0.9335401650254249,0.4335401650254249
0.41500000000000004,0.16999999999999993,0.7519310443507384,0.9437437029010821,0.4437437029010821
0.42000000000000004,0.15999999999999992,0.7537455676222482,0.9539170033726257,0.45391700337262575
0.42500000000000004,0.1499999999999999,0.7555440703804934,0.9640613440073499,0.4640613440073499
0.43000000000000005,0.1399999999999999,0.7573345737907161,0.9741840574325793,0.4741840574325793
0.43500000000000005,0.1299999999999999,0.7591141915044584,0.9842827034622421,0.4842827034622421
0.44,0.12,0.7608811092401859,0.9943556309246839,0.49435563092468393
0.445,0.10999999999999999,0.7626342540494311,1.0044017540739756,0.5044017540739756
0.45,0.09999999999999998,0.7643736883690637,1.0144204460627664,0.5144204460627664
0.455,0.08999999999999997,0.7661023378365568,1.024414517481197,0.5244145174811969
0.46,0.07999999999999996,0.7678211578638574,1.0343856615541138,0.5343856615541138
0.465,0.06999999999999995,0.7695285220657521,1.0443322849490617,0.5443322849490617
0.47000000000000003,0.05999999999999994,0.7712254987844852,1.0542538971026363,0.5542538971026363
0.47500000000000003,0.04999999999999993,0.7729090692431589,1.0641489548079957,0.5641489548079957
0.48000000000000004,0.039999999999999925,0.7745784585796232,1.0740169853309085,0.5740169853309085
0.48500000000000004,0.029999999999999916,0.7762372513282294,1.08385997855106,0.5838599785510601
0.49000000000000005,0.019999999999999907,0.7778846708255595,1.0936782442327775,0.5936782442327775
0.49500000000000005,0.009999999999999898,0.7795189280831429,1.1034706651052857,0.6034706651052857
0.5,0.0,0.7811417666227429,1.1132369498461263,0.6132369498461263
0.505,-0.010000000000000009,0.7827499783059007,1.122976146157926,0.622976146157926
0.51,-0.020000000000000018,0.7843437829926302,1.1326878754610359,0.6326878754610359
0.515,-0.030000000000000027,0.785925887859774,1.1423741159507996,0.6423741159507996
0.52,-0.040000000000000036,0.787496158815728,1.1520362665010768,0.6520362665010768
0.525,-0.050000000000000044,0.7890564563214467,1.1616736642846381,0.6616736642846381
0.53,-0.06000000000000005,0.7906027560188548,1.1712853634175946,0.6712853634175946
0.535,-0.07000000000000006,0.7921370509552634,1.1808712393603298,0.6808712393603298
0.54,-0.08000000000000007,0.7936570149217009,1.1904309178354888,0.6904309178354888
0.545,-0.09000000000000008,0.7951648218880063,1.1999651377562643,0.6999651377562643
0.55,-0.10000000000000009,0.7966640620704082,1.2094779617498217,0.7094779617498217
0.555,-0.1100000000000001,0.7981560213029859,1.218969490307911,0.7189694903079109
0.56,-0.1200000000000001,0.7996378396542977,1.2284384843640423,0.7284384843640423
0.5650000000000001,-0.13000000000000012,0.8011106017264502,1.2378847068836751,0.7378847068836751
0.5700000000000001,-0.14000000000000012,0.8025718004933446,1.247307691450049,0.7473076914500489
0.5750000000000001,-0.15000000000000013,0.8040232914189652,1.256707199736583,0.7567071997365831
0.5800000000000001,-0.16000000000000014,0.8054643665927386,1.26608485100922,0.76608485100922
0.5850000000000001,-0.17000000000000015,0.8069037805080713,1.2754450857877782,0.7754450857877782
0.5900000000000001,-0.18000000000000016,0.8083367574472982,1.2847862878509708,0.7847862878509708
0.5950000000000001,-0.19000000000000017,0.8097644648761794,1.2941080561470262,0.7941080561470262
0.6,-0.19999999999999996,0.811185387762118,1.303409834223185,0.803409834223185
0.605,-0.20999999999999996,0.8125984680502653,1.3126912120693408,0.8126912120693408
0.61,-0.21999999999999997,0.8140048056046799,1.321951848580352,0.8219518485803521
0.615,-0.22999999999999998,0.8154044024219346,1.3311934452271754,0.8311934452271754
0.62,-0.24,0.8168062552752611,1.3404206031639803,0.8404206031639803
0.625,-0.25,0.8182067303516244,1.349631842252242,0.849631842252242
0.63,-0.26,0.8196049046822419,1.3588264314542386,0.8588264314542386
0.635,-0.27,0.8210018825555186,1.368004068456969,0.868004068456969
0.64,-0.28,0.8223941756609263,1.3771639460392096,0.8771639460392096
0.645,-0.29000000000000004,0.8237838739424183,1.3863059296869384,0.8863059296869384
0.65,-0.30000000000000004,0.8251710232251382,1.3954309406864656,0.8954309406864656
0.655,-0.31000000000000005,0.8265616382448656,1.404542946972135,0.9045429469721351
0.66,-0.32000000000000006,0.8279590560563368,1.4136424980832059,0.9136424980832059
0.665,-0.33000000000000007,0.8293574627909147,1.4227275500140224,0.9227275500140224
0.67,-0.3400000000000001,0.8307592068752175,1.4317981357746643,0.9317981357746643
0.675,-0.3500000000000001,0.8321621615919,1.4408534435548246,0.9408534435548246
0.68,-0.3600000000000001,0.8335647546930963,1.4498928606577994,0.9498928606577994
0.685,-0.3700000000000001,0.8349705208098931,1.4589170058989247,0.9589170058989247
0.6900000000000001,-0.3800000000000001,0.8363804207562267,1.4679279405995422,0.9679279405995422
0.6950000000000001,-0.3900000000000001,0.8377988956842404,1.4769265780054186,0.9769265780054186
0.7000000000000001,-0.40000000000000013,0.8392219581419792,1.4859113661382244,0.9859113661382244
0.7050000000000001,-0.41000000000000014,0.8406491411225773,1.4948817909402157,0.9948817909402157
0.7100000000000001,-0.42000000000000015,0.842081202075495,1.5038375083803328,1.0038375083803328
0.7150000000000001,-0.43000000000000016,0.843514276613239,1.5127776008275489,1.0127776008275489
0.7200000000000001,-0.44000000000000017,0.8449530548009359,1.521702521827805,1.021702521827805
0.725,-0.44999999999999996,0.8463960342267731,1.5306132630322586,1.0306132630322586
0.73,-0.45999999999999996,0.847847718446368,1.5395103711148646,1.0395103711148646
0.735,-0.47,0.8493036169040273,1.5483925389875886,1.0483925389875886
0.74,-0.48,0.8507648185318611,1.557259468249074,1.057259468249074
0.745,-0.49,0.8522296312966134,1.566110514927269,1.066110514927269
0.75,-0.5,0.8536972488190034,1.5749452093332204,1.0749452093332204
0.755,-0.51,0.8551691260621521,1.583763775004822,1.083763775004822
0.76,-0.52,0.8566480547496079,1.592567825279914,1.092567825279914
0.765,-0.53,0.858135920112892,1.6013572136838776,1.1013572136838776
0.77,-0.54,0.8596286879845948,1.6101309080805706,1.1101309080805706
0.775,-0.55,0.8611282380243435,1.618888574242555,1.118888574242555
0.78,-0.56,0.8626309413440187,1.6276295560531775,1.1276295560531775
0.785,-0.5700000000000001,0.8641386458124387,1.6363535073171178,1.1363535073171178
0.79,-0.5800000000000001,0.8656522473020187,1.6450615082194366,1.1450615082194366
0.795,-0.5900000000000001,0.8671801230364337,1.6537556736910448,1.1537556736910448
0.8,-0.6000000000000001,0.8687180099869392,1.6624347559867598,1.1624347559867598
0.805,-0.6100000000000001,0.8702662166411138,1.671098240442506,1.171098240442506
0.81,-0.6200000000000001,0.8718235054118271,1.679745497107833,1.179745497107833
0.8150000000000001,-0.6300000000000001,0.8733878866361892,1.6883759742992117,1.1883759742992117
0.8200000000000001,-0.6400000000000001,0.8749628721417294,1.6969898427504704,1.1969898427504704
0.8250000000000001,-0.6500000000000001,0.876556067099724,1.7055903027356791,1.2055903027356791
0.8300000000000001,-0.6600000000000001,0.8781754412205709,1.7141781110285657,1.2141781110285657
0.8350000000000001,-0.6700000000000002,0.879814228903856,1.722751591198783,1.222751591198783
0.8400000000000001,-0.6800000000000002,0.8814716550395854,1.7313100756272317,1.2313100756272317
0.8450000000000001,-0.6900000000000002,0.883151098340335,1.7398531251313423,1.2398531251313423
0.8500000000000001,-0.7000000000000002,0.8848491646764028,1.7483802745572903,1.2483802745572903
0.855,-0.71,0.8865830446305183,1.7568954345753363,1.2568954345753363
0.86,-0.72,0.888362776634509,1.7653997747880081,1.2653997747880081
0.865,-0.73,0.8901848078571373,1.7738916293587899,1.2738916293587899
0.87,-0.74,0.8920479541335645,1.7823699458924172,1.2823699458924172
0.875,-0.75,0.8939526767062099,1.7908338492490725,1.2908338492490725
0.88,-0.76,0.8959106761864813,1.7992848552877674,1.2992848552877674
0.885,-0.77,0.8979451178932804,1.807726493866448,1.307726493866448
0.89,-0.78,0.9000568532325505,1.8161572565160147,1.3161572565160147
0.895,-0.79,0.9022480979446547,1.8245759030894813,1.3245759030894813
0.9,-0.8,0.9045216477058649,1.8329812207111802,1.3329812207111802
0.905,-0.81,0.9069111291741998,1.8413765020042498,1.3413765020042498
0.91,-0.8200000000000001,0.909429884996619,1.8497621619406712,1.3497621619406712
0.915,-0.8300000000000001,0.9120966218146158,1.8581374263112644,1.3581374263112644
0.92,-0.8400000000000001,0.9149176934632587,1.8665004398469898,1.3665004398469898
0.925,-0.8500000000000001,0.9179421486645396,1.8748541547795075,1.3748541547795075
0.93,-0.8600000000000001,0.9212072372334966,1.8831987782440287,1.3831987782440287
0.935,-0.8700000000000001,0.9247449644749786,1.8915326794075875,1.3915326794075875
0.9400000000000001,-0.8800000000000001,0.9286313694347327,1.8998579936780704,1.3998579936780704
