control,relative_improvement,narrowing
primary_ARA,0.00022836667590580805,0.00012480223514067362
mismatched_daughters,-0.0003049615320767402,1.2110086636343628e-05
inner_window,-5.0210137612413884e-05,4.368798297190749e-05
even_hash,0.00019831058692073274,0.00011243448537918597
odd_hash,0.0002583815697344492,0.00017198625300179627
