time_us,model_prompt,model_delayed,fitted_prompt,fitted_delayed
1.499999999999999944e-01,1.049909064828773886e+01,1.654290884508936799e+00,2.588419341205282720e+01,1.332671899187788611e+00
6.500000000000000222e-01,2.090506735771782942e+01,1.834351455627587413e+01,5.153882606656114262e+01,1.477725991867964872e+01
1.149999999999999911e+00,7.104106077251733098e-02,1.884359541671706850e+01,1.751428403499999953e-01,1.518011755168259924e+01
1.649999999999999911e+00,3.779296643984161962e-08,1.501234246472727563e+01,9.317382673552017485e-08,1.209371769564236132e+01
2.149999999999999911e+00,7.411920867652558786e-16,1.195665070846265365e+01,1.827316285953180788e-15,9.632098294673195227e+00
2.649999999999999911e+00,4.352436501830490414e-16,9.522930647495783774e+00,1.073038723076767182e-15,7.671529953209534014e+00
3.149999999999999911e+00,-7.010756605847269126e-16,7.584582867577520204e+00,-1.728414260145212370e-15,6.110026083884338099e+00
3.649999999999999911e+00,1.386803850738736407e-16,6.040776668921536086e+00,3.418991253585880188e-16,4.866358988812681474e+00
4.150000000000000355e+00,1.872494593300978739e-17,4.811204966825272322e+00,4.616400966490389910e-17,3.875834486281435343e+00
4.650000000000000355e+00,2.768864879771735209e-16,3.831906806271108135e+00,6.826289674100525999e-16,3.086926591232355577e+00
