cut,shift_bins,shift_us,nll,shifted_minus_native_nll
energy_time,1,0.5,-10782.406723832919,7.52445452905522
energy_time,2,1.0,-10783.331645553015,6.599532808959339
energy_time,3,1.5,-10783.464214496616,6.466963865357684
energy_time,4,2.0,-10783.08333296828,6.8478453936950245
energy_time,5,2.5,-10783.608063164265,6.32311519770883
energy_time,6,3.0,-10781.958826212876,7.972352149097787
energy_time,7,3.5,-10782.222851365701,7.708326996273172
energy_time,8,4.0,-10782.348378987377,7.582799374597016
energy_time,9,4.5,-10785.317542653964,4.613635708010406
f90_time,1,0.5,-11036.365215045837,3.4871476149328373
f90_time,2,1.0,-11036.365213314593,3.487149346176011
f90_time,3,1.5,-11036.365213900142,3.487148760626951
f90_time,4,2.0,-11036.394164395444,3.4581982653253363
f90_time,5,2.5,-11036.366109872237,3.4862527885325107
f90_time,6,3.0,-11036.365214128435,3.487148532334686
f90_time,7,3.5,-11036.45186308878,3.4004995719897124
f90_time,8,4.0,-11036.36521516027,3.487147500500214
f90_time,9,4.5,-11036.365214914264,3.487147746505798
full_3d,1,0.5,-3210.790271395681,7.390086396226707
full_3d,2,1.0,-3211.8173760218388,6.362981770068927
full_3d,3,1.5,-3211.084515878955,7.095841912952892
full_3d,4,2.0,-3211.4912250627567,6.68913272915097
full_3d,5,2.5,-3211.6003177329353,6.580040058972372
full_3d,6,3.0,-3209.87858673628,8.301771055627796
full_3d,7,3.5,-3210.3451454967435,7.835212295164183
full_3d,8,4.0,-3210.059621163482,8.120736628425675
full_3d,9,4.5,-3212.708829337248,5.4715284546596195
time_only,1,0.5,-18692.593513020885,0.8973583814986341
time_only,2,1.0,-18692.593511801755,0.8973596006289881
time_only,3,1.5,-18692.604058312965,0.8868130894188653
time_only,4,2.0,-18692.78500511387,0.7058662885137892
time_only,5,2.5,-18692.73968164433,0.7511897580552613
time_only,6,3.0,-18692.5935110726,0.8973603297854424
time_only,7,3.5,-18692.73527012169,0.7556012806926447
time_only,8,4.0,-18692.59350714661,0.8973642557757557
time_only,9,4.5,-18692.593509748996,0.8973616533876339
