energy_groups,label,permutation,nll,permuted_minus_native_nll
3,reversed,2 1 0,-7276.449857451751,4.239548408111659
3,random_01,1 0 2,-7279.626731032102,1.0626748277609295
3,random_02,2 0 1,-7279.252871115879,1.4365347439834295
3,random_03,1 2 0,-7274.235535852561,6.453870007301703
3,random_04,2 1 0,-7276.449857451751,4.239548408111659
3,random_05,1 2 0,-7274.235535852561,6.453870007301703
3,random_06,0 2 1,-7276.02433829456,4.6650675653027065
3,random_07,1 2 0,-7274.235535852561,6.453870007301703
3,random_08,2 0 1,-7279.252871115879,1.4365347439834295
3,random_09,2 0 1,-7279.252871115879,1.4365347439834295
3,random_10,1 0 2,-7279.626731032102,1.0626748277609295
3,random_11,2 0 1,-7279.252871115879,1.4365347439834295
3,random_12,2 0 1,-7279.252871115879,1.4365347439834295
3,random_13,2 1 0,-7276.449857451751,4.239548408111659
3,random_14,1 0 2,-7279.626731032102,1.0626748277609295
3,random_15,2 1 0,-7276.449857451751,4.239548408111659
3,random_16,1 2 0,-7274.235535852561,6.453870007301703
3,random_17,0 2 1,-7276.02433829456,4.6650675653027065
3,random_18,0 2 1,-7276.02433829456,4.6650675653027065
3,random_19,1 0 2,-7279.626731032102,1.0626748277609295
3,random_20,1 0 2,-7279.626731032102,1.0626748277609295
5,reversed,4 3 2 1 0,-5548.264100014999,8.661516636926535
5,random_01,3 2 0 4 1,-5549.130432798524,7.795183853400886
5,random_02,1 4 3 0 2,-5548.264099631205,8.661517020720567
5,random_03,4 2 1 3 0,-5548.637719935891,8.287896716034084
5,random_04,2 0 3 4 1,-5552.874436262829,4.051180389096771
5,random_05,3 1 2 0 4,-5548.264100051515,8.661516600410323
5,random_06,1 2 0 4 3,-5550.093755493065,6.8318611588601925
5,random_07,2 0 4 3 1,-5552.5991032691445,4.326513382780831
5,random_08,3 2 1 4 0,-5548.79812677599,8.12748987593568
5,random_09,1 4 2 0 3,-5548.2640998166435,8.661516835281873
5,random_10,1 3 2 4 0,-5548.582611170513,8.343005481412547
5,random_11,0 1 2 4 3,-5556.884930434487,0.04068621743863332
5,random_12,0 2 4 3 1,-5549.9793793617055,6.9462372902198695
5,random_13,4 3 2 0 1,-5548.264099614578,8.66151703734704
5,random_14,0 1 3 4 2,-5555.618507575801,1.3071090761241067
5,random_15,2 0 1 4 3,-5555.513823933683,1.4117927182423955
5,random_16,2 0 3 4 1,-5552.874436262829,4.051180389096771
5,random_17,4 2 0 1 3,-5548.584451704496,8.341164947429206
5,random_18,3 0 4 1 2,-5550.001330445239,6.924286206686702
5,random_19,2 4 1 0 3,-5548.264100015606,8.661516636318993
5,random_20,1 3 2 0 4,-5548.264100100853,8.661516551072054
12,reversed,11 10 9 8 7 6 5 4 3 2 1 0,-3209.768743193621,8.411614598286633
12,random_01,8 2 7 5 3 1 6 11 4 0 9 10,-3209.8667685362184,8.313589255689294
12,random_02,1 8 5 3 7 2 6 11 9 4 0 10,-3210.433174392633,7.7471833992744905
12,random_03,1 2 9 3 8 11 7 6 10 0 5 4,-3210.050374249162,8.129983542745777
12,random_04,10 9 3 4 2 6 1 0 7 5 8 11,-3209.757206480973,8.423151310934827
12,random_05,9 2 6 10 0 11 5 8 3 7 1 4,-3209.772868326614,8.407489465293565
12,random_06,3 6 1 11 10 9 0 7 2 5 8 4,-3209.7859703945433,8.394387397364426
12,random_07,7 8 5 0 9 1 2 4 11 3 10 6,-3209.7572065284435,8.423151263464206
12,random_08,9 6 10 1 7 11 0 4 3 2 5 8,-3209.757206550622,8.423151241285723
12,random_09,11 3 6 0 7 8 10 5 2 4 9 1,-3209.7572064529245,8.423151338983189
12,random_10,2 3 7 6 8 1 5 10 0 9 4 11,-3209.7946465008527,8.385711291055031
12,random_11,8 6 1 0 5 11 10 9 4 3 7 2,-3209.7572065091686,8.423151282739127
12,random_12,4 0 6 9 3 1 10 7 8 2 5 11,-3212.4342361314402,5.746121660467452
12,random_13,11 3 5 1 0 8 7 2 6 9 4 10,-3209.75720634188,8.42315145002749
12,random_14,4 8 6 0 3 10 5 11 2 9 1 7,-3209.757206507946,8.423151283961488
12,random_15,8 1 10 4 11 2 0 7 6 9 5 3,-3209.7923956553605,8.38796213654723
12,random_16,5 10 4 9 6 2 0 11 1 7 3 8,-3209.75720649158,8.423151300327845
12,random_17,0 11 8 1 2 7 10 6 9 3 4 5,-3209.96882930024,8.21152849166765
12,random_18,1 10 11 2 6 8 4 7 0 5 3 9,-3209.8104199550116,8.369937836896042
12,random_19,3 4 1 6 10 0 11 2 8 5 7 9,-3209.7665953317883,8.413762460119415
12,random_20,1 3 5 6 11 10 2 7 4 0 9 8,-3209.9210911685327,8.25926662337497
