run,field_gauss,recovered_frequency_mhz,expected_frequency_mhz,frequency_relative_error,holdout_improvement_vs_no_phase,holdout_correlation,circular_shift_better_count,ara_holdout_pass,resolved_parent_phase_pass
EMU00066651,20.0,0.2799999999999999,0.27107791999999997,0.03291334093164041,0.7738899942609071,0.9740698325877462,0,True,True
EMU00066652,25.0,0.32999999999999985,0.33884739999999997,0.026110278550167766,0.12156445328597298,0.4795389234186143,1,False,False
EMU00066627,40.0,0.5499999999999998,0.5421558399999999,0.01446845984357538,0.2293133666758469,0.6395546956671735,0,True,True
EMU00066654,60.0,0.8199999999999996,0.8132337599999999,0.008320166147553567,0.14274118707877914,0.5170872404543966,0,True,True
EMU00066655,80.0,1.0899999999999996,1.0843116799999999,0.0052460192995428655,0.13046840862080034,0.4957512075555492,0,True,True
EMU00066656,100.0,1.3599999999999994,1.3553895999999999,0.0034015311907362802,0.1320101844235595,0.4979626001110871,0,True,True
EMU00066657,150.0,2.039999999999999,2.0330844,0.0034015311907362256,0.10845475547517158,0.4540112836038139,0,True,True
EMU00066658,200.0,2.719999999999999,2.7107791999999997,0.0034015311907362802,0.09406594177326966,0.42380895146378417,0,True,True
EMU00066661,200.0,2.7099999999999986,2.7107791999999997,0.0002874450268768073,0.09825605371088952,0.43250243657058046,0,True,True
EMU00066669,230.0,3.1299999999999986,3.11739608,0.004043092272060203,0.06693769905705149,0.3624873623129452,1,False,False
EMU00066659,280.0,3.799999999999998,3.7950908799999996,0.001293544780671612,0.058143134440488686,0.33711644413435604,0,True,True
EMU00066662,360.0,4.889999999999997,4.87940256,0.002171872451531663,0.034598990437796906,0.2625751748169923,0,True,True
EMU00066660,400.0,5.419999999999997,5.4215583999999994,0.0002874450268768073,0.025889731143767247,0.22916181114354744,0,True,True
EMU00066663,520.0,0.1,7.04802592,0.9858116299322577,-0.24184909905538698,0.02766482543152987,36,False,False
