pair,family,n_from,n_to,amplitude_floor,valid,q_real,q_imag,s,log_s,delta_rad,quadrant
control_e_vs_sqrt2,beam7_decay,934,935,2.80826745144e-10,True,0.908072121598,0.118037749907,0.915711684116,-0.0880537191855,0.129262413961,contracting_forward
control_e_vs_sqrt2,beam7_decay,935,936,2.80826745144e-10,True,0.569964646569,-0.45107855982,0.726864200156,-0.319015613731,-0.669484208411,contracting_reverse
control_e_vs_sqrt2,beam7_decay,936,937,2.80826745144e-10,True,0.00192603165619,-0.335412004183,0.33541753405,-1.09237915293,-1.56505410391,contracting_reverse
control_e_vs_sqrt2,beam7_decay,937,938,2.80826745144e-10,True,0.453883451241,-2.98250692728,3.0168456637,1.10421180332,-1.41977321692,expanding_reverse
control_e_vs_sqrt2,beam7_decay,938,939,2.80826745144e-10,True,2.11436998974,0.790186152008,2.25720061323,0.814125378789,0.357649583262,expanding_forward
control_e_vs_sqrt2,beam7_decay,939,940,2.80826745144e-10,True,0.85066122061,-0.307693957942,0.904599405264,-0.100263079396,-0.347069903857,contracting_reverse
control_e_vs_sqrt2,beam7_decay,940,941,2.80826745144e-10,True,0.816066543143,-0.196094958458,0.839296035717,-0.175191791225,-0.235821866338,contracting_reverse
control_e_vs_sqrt2,beam7_decay,941,942,2.80826745144e-10,True,1.38775509826,-0.430610099126,1.45302762197,0.373649394713,-0.300872569103,expanding_reverse
control_e_vs_sqrt2,beam7_decay,942,943,2.80826745144e-10,True,0.437601455257,-0.200508144743,0.481350755428,-0.731159053365,-0.429650496657,contracting_reverse
control_e_vs_sqrt2,beam7_decay,943,944,2.80826745144e-10,True,0.744446431987,0.0959071030966,0.750598869252,-0.286883898741,0.128124368351,contracting_forward
control_e_vs_sqrt2,beam7_decay,944,945,2.80826745144e-10,True,-0.489633818245,-0.0181137274112,0.489968757259,-0.713413650606,-3.10461507953,contracting_reverse
control_e_vs_sqrt2,beam7_decay,945,946,2.80826745144e-10,True,1.69378939852,-2.11744170331,2.71154603381,0.997518964402,-0.896102602826,expanding_reverse
control_e_vs_sqrt2,beam7_decay,946,947,2.80826745144e-10,True,-0.134870361748,-0.281518042869,0.31215768922,-1.16424680469,-2.01757032522,contracting_reverse
control_e_vs_sqrt2,beam7_decay,947,948,2.80826745144e-10,True,1.64364933321,1.85836633114,2.48094912307,0.908641197878,0.846633911103,expanding_forward
control_e_vs_sqrt2,beam7_decay,948,949,2.80826745144e-10,True,1.38672986378,-0.592229890043,1.50789786052,0.410716535539,-0.4036221408,expanding_reverse
control_e_vs_sqrt2,beam7_decay,949,950,2.80826745144e-10,True,0.379940390105,-0.876969564763,0.955735485139,-0.0452740934016,-1.16196506642,contracting_reverse
control_e_vs_sqrt2,beam7_decay,950,951,2.80826745144e-10,True,1.26414046762,0.133670840239,1.27118803306,0.239951922303,0.105349022378,expanding_forward
control_e_vs_sqrt2,beam7_decay,951,952,2.80826745144e-10,True,1.06251730558,-0.250994923634,1.09176072303,0.0877917352066,-0.231974113718,expanding_reverse
control_e_vs_sqrt2,beam7_decay,952,953,2.80826745144e-10,True,0.392799640294,-0.158425546086,0.423544815891,-0.859095947842,-0.383368658294,contracting_reverse
control_e_vs_sqrt2,beam7_decay,953,954,2.80826745144e-10,True,1.28917948723,-0.120339328501,1.29478388323,0.258343795687,-0.0930759630803,expanding_reverse
control_e_vs_sqrt2,beam7_decay,954,955,2.80826745144e-10,True,-0.076788539207,-0.58774200447,0.592736993592,-0.523004496763,-1.7007105527,contracting_reverse
control_e_vs_sqrt2,beam7_decay,955,956,2.80826745144e-10,True,-0.290395087257,-0.727835463425,0.783628590929,-0.24382010694,-1.95042698872,contracting_reverse
control_e_vs_sqrt2,beam7_decay,956,957,2.80826745144e-10,True,0.816163402262,0.386564083401,0.903080555525,-0.101943520767,0.44233456067,contracting_forward
