pair,left,right,family,contrast_mean,contrast_std,period4_partial_r2,period4_amplitude,period4_phase_rad,dominant_period,dominant_partial_r2,dominant_amplitude
parent_phi_time_vs_e,phi_time,one_over_e,beam7,0.0158713803521,0.0277226293936,3.60434219718e-05,0.000147660516374,2.4148760186,128,0.506024522971,0.0181201123295
parent_phi_time_vs_e,phi_time,one_over_e,beam7_cycle23,0.0165578498352,0.0271731675472,2.67450782139e-05,0.000126219621121,2.38299880086,128,0.490979775116,0.0177009414174
parent_phi_time_vs_e,phi_time,one_over_e,beam7_decay,0.0160641074071,0.0275642512937,8.61245917561e-05,0.000231411400848,2.45863643541,128,0.500770551794,0.0182044141666
child_anti_phi_vs_e,anti_phi,one_over_e,beam7,0.015871380352,0.0277226293936,3.60434219712e-05,0.000147660516372,2.4148760186,128,0.506024522972,0.0181201123295
child_anti_phi_vs_e,anti_phi,one_over_e,beam7_cycle23,0.0169712815268,0.0271737048113,3.10597067722e-05,0.000136157810895,2.45769054397,128,0.491967491925,0.0177361965323
child_anti_phi_vs_e,anti_phi,one_over_e,beam7_decay,0.0154580888594,0.0274754978917,1.55710219751e-05,9.64985753159e-05,2.70647919426,128,0.458231937593,0.0171033150712
control_phi_time_vs_sqrt2,phi_time,sqrt2_minus_1,beam7,0.00682419886996,0.00605036779923,9.02471285058e-05,4.64083191466e-05,-1.32874892101,128,0.511379869505,0.00366155679521
control_phi_time_vs_sqrt2,phi_time,sqrt2_minus_1,beam7_cycle23,0.00507595532583,0.00594561877266,7.44297596914e-05,3.87453533822e-05,-1.27919647778,128,0.604976717111,0.00366112269197
control_phi_time_vs_sqrt2,phi_time,sqrt2_minus_1,beam7_decay,0.0057502354395,0.00599534438042,0.000562170033379,0.000134700363984,2.79896096953,128,0.476204914132,0.00409589776949
control_e_vs_sqrt2,one_over_e,sqrt2_minus_1,beam7,-0.00904718148209,0.0226645645947,7.42430401774e-05,0.000187758156854,-0.867155207876,128,0.461314909827,0.0152459151937
control_e_vs_sqrt2,one_over_e,sqrt2_minus_1,beam7_cycle23,-0.0114818945094,0.0220624904008,5.58673013945e-05,0.000160989664586,-0.878591522624,128,0.451331880457,0.0148909852647
control_e_vs_sqrt2,one_over_e,sqrt2_minus_1,beam7_decay,-0.0103138719676,0.0224281789161,2.89995270441e-05,0.000113703942178,-1.08949306786,128,0.445699657014,0.0144804199044
control_phi_time_vs_pi3,phi_time,pi_minus_3,beam7,0.132728979084,0.0987261445309,8.98504571449e-05,0.000466221349158,-0.828518421392,128,0.412991263148,0.0323262987716
control_phi_time_vs_pi3,phi_time,pi_minus_3,beam7_cycle23,0.128876747746,0.101154247017,4.9050865398e-05,0.000305990303167,-1.02477282289,128,0.414359992895,0.0287596822664
control_phi_time_vs_pi3,phi_time,pi_minus_3,beam7_decay,0.132734076955,0.0980925314488,7.05080732171e-05,0.000427456223884,-0.879295380059,128,0.402976415329,0.0330740690078
control_e_vs_pi3,one_over_e,pi_minus_3,beam7,0.116857598732,0.0764302256979,0.000227127921557,0.000613300990172,-0.804048134724,128,0.723815723039,0.0348618640665
control_e_vs_pi3,one_over_e,pi_minus_3,beam7_cycle23,0.112318897911,0.0795486625773,0.000140866900123,0.000429051420853,-0.947311462851,128,0.772057913986,0.0319691504705
control_e_vs_pi3,one_over_e,pi_minus_3,beam7_decay,0.116669969547,0.0764171071514,0.00023105064791,0.000655976809704,-0.810421787898,128,0.71942356475,0.0368797504849
control_sqrt2_vs_pi3,sqrt2_minus_1,pi_minus_3,beam7,0.125904780214,0.0934205633035,8.37830287788e-05,0.000426081148387,-0.776254064636,128,0.399531155134,0.0299851708908
control_sqrt2_vs_pi3,sqrt2_minus_1,pi_minus_3,beam7_cycle23,0.123800792421,0.0957853095634,4.29588491862e-05,0.000268669254867,-0.988468446508,128,0.400427458269,0.0264202789216
control_sqrt2_vs_pi3,sqrt2_minus_1,pi_minus_3,beam7_decay,0.126983841515,0.0933092055689,0.000127842988812,0.000547568411914,-0.753189977112,128,0.409489396697,0.0315710084027
