n,coupling,phi_time_p05,one_over_e_p05,contrast_phi_minus_e,winner
65,0,0.147076643266,0.147707559616,-0.000630916349215,one_over_e
65,0.05,0.147366794609,0.148029674199,-0.000662879589207,one_over_e
65,0.1,0.147651181641,0.148293475815,-0.000642294173457,one_over_e
65,0.15,0.147938383063,0.148517656683,-0.000579273620153,one_over_e
65,0.2,0.148219597804,0.148708071779,-0.000488473974859,one_over_e
65,0.25,0.148499987601,0.148876878081,-0.000376890480373,one_over_e
65,0.3,0.148776512758,0.149026433572,-0.000249920814442,one_over_e
65,0.35,0.149047922175,0.149173622458,-0.00012570028321,one_over_e
65,0.4,0.149309617298,0.149219188393,9.04289050485e-05,phi_time
65,0.45,0.149554690709,0.149290533597,0.000264157112274,phi_time
65,0.5,0.149767382593,0.149379743775,0.000387638817968,phi_time
65,0.55,0.149931002771,0.14941674411,0.000514258660311,phi_time
65,0.6,0.150048378291,0.14943510084,0.000613277450565,phi_time
65,0.65,0.150127665377,0.149429622543,0.000698042834279,phi_time
65,0.7,0.150180446284,0.149320326422,0.000860119862322,phi_time
65,0.75,0.150210237806,0.149116249557,0.00109398824922,phi_time
65,0.8,0.150222906059,0.148741230841,0.00148167521789,phi_time
65,0.85,0.150222758234,0.148347578678,0.00187517955609,phi_time
65,0.9,0.150212130724,0.147953926516,0.00225820420883,phi_time
65,0.95,0.150191477733,0.147560274353,0.00263120337999,phi_time
65,1,0.150162113982,0.147166622191,0.00299549179146,phi_time
66,0,0.152047396067,0.147927523199,0.00411987286846,phi_time
66,0.05,0.152223030141,0.148278414098,0.00394461604297,phi_time
66,0.1,0.152373611763,0.148576857776,0.0037967539866,phi_time
66,0.15,0.152492094057,0.148828308615,0.00366378544146,phi_time
66,0.2,0.152583345086,0.149052117463,0.00353122762283,phi_time
66,0.25,0.152648455482,0.14925259702,0.00339585846264,phi_time
66,0.3,0.152688732105,0.149438410033,0.00325032207205,phi_time
66,0.35,0.152706522247,0.149619716034,0.00308680621232,phi_time
66,0.4,0.152704819878,0.149776615801,0.00292820407661,phi_time
66,0.45,0.152687059731,0.149944956644,0.00274210308743,phi_time
66,0.5,0.152651733431,0.150095036622,0.0025566968089,phi_time
66,0.55,0.152601455354,0.150219904644,0.00238155070998,phi_time
66,0.6,0.152539355402,0.150291505583,0.00224784981853,phi_time
66,0.65,0.152462609324,0.150362425582,0.00210018374177,phi_time
66,0.7,0.152376687118,0.150447432445,0.001929254673,phi_time
66,0.75,0.15227970454,0.150563232864,0.00171647167591,phi_time
66,0.8,0.152172951062,0.150685630899,0.00148732016287,phi_time
66,0.85,0.152060530624,0.150750027531,0.00131050309263,phi_time
66,0.9,0.151941030289,0.150777519662,0.00116351062738,phi_time
66,0.95,0.151815268454,0.150722655197,0.00109261325789,phi_time
66,1,0.151684127813,0.150522481983,0.00116164582975,phi_time
67,0,0.152439980759,0.153698074629,-0.00125809386995,one_over_e
67,0.05,0.15269192223,0.153890600951,-0.00119867872055,one_over_e
67,0.1,0.152914129351,0.153974620251,-0.00106049089966,one_over_e
67,0.15,0.15310147276,0.154015993338,-0.000914520577634,one_over_e
67,0.2,0.153249873058,0.154038444109,-0.00078857105055,one_over_e
67,0.25,0.153363493825,0.154050543792,-0.000687049966473,one_over_e
67,0.3,0.153444747996,0.154056065079,-0.000611317082969,one_over_e
67,0.35,0.153499663824,0.154057353475,-0.000557689651052,one_over_e
67,0.4,0.153538614328,0.154063784506,-0.000525170177334,one_over_e
67,0.45,0.153561473746,0.154063740347,-0.000502266600609,one_over_e
67,0.5,0.153570565487,0.154057359382,-0.000486793895094,one_over_e
67,0.55,0.153568342734,0.153979290404,-0.000410947670025,one_over_e
67,0.6,0.153559053712,0.153830522728,-0.000271469015954,one_over_e
67,0.65,0.153548761673,0.153667549033,-0.000118787359652,one_over_e
67,0.7,0.153522242426,0.153419262229,0.000102980197737,phi_time
67,0.75,0.15350185287,0.153170975425,0.000330877445284,phi_time
67,0.8,0.153466398408,0.152922688621,0.000543709787302,phi_time
67,0.85,0.153439574403,0.152674401817,0.000765172586215,phi_time
67,0.9,0.153400918445,0.152426115013,0.000974803432063,phi_time
67,0.95,0.153360703917,0.152177828209,0.00118287570759,phi_time
67,1,0.153326105995,0.151929541405,0.00139656459,phi_time
68,0,0.156129208564,0.153942696045,0.00218651251892,phi_time
68,0.05,0.156343597482,0.154267116483,0.00207648099861,phi_time
68,0.1,0.15650590706,0.154518525275,0.00198738178461,phi_time
68,0.15,0.156627838995,0.154689007926,0.00193883106878,phi_time
68,0.2,0.156722183513,0.154806172439,0.00191601107341,phi_time
68,0.25,0.156794544655,0.15488711236,0.00190743229484,phi_time
68,0.3,0.156853879976,0.1549528621,0.00190101787639,phi_time
68,0.35,0.156901739228,0.155003570198,0.00189816903031,phi_time
68,0.4,0.156942584248,0.15506025716,0.00188232708796,phi_time
68,0.45,0.156978046802,0.155105175958,0.00187287084404,phi_time
68,0.5,0.157009690491,0.155139251341,0.00187043914971,phi_time
68,0.55,0.157033413901,0.155184941331,0.00184847257017,phi_time
68,0.6,0.157057742336,0.155229472745,0.00182826959082,phi_time
68,0.65,0.15707769264,0.155267396584,0.00181029605554,phi_time
68,0.7,0.157096860268,0.155296014981,0.00180084528698,phi_time
68,0.75,0.157111436611,0.155324633378,0.00178680323264,phi_time
68,0.8,0.157101945468,0.155353251775,0.00174869369269,phi_time
68,0.85,0.157090612833,0.155388043068,0.00170256976529,phi_time
68,0.9,0.157091471352,0.155423380282,0.00166809107072,phi_time
68,0.95,0.157077727153,0.155419081032,0.00165864612062,phi_time
68,1,0.157053507916,0.155253161289,0.00180034662676,phi_time
69,0,0.159437886016,0.159599894061,-0.000162008045325,one_over_e
69,0.05,0.159444177194,0.159785336012,-0.000341158817424,one_over_e
69,0.1,0.15944972919,0.159934420094,-0.000484690904025,one_over_e
69,0.15,0.159455589782,0.15998459343,-0.0005290036477,one_over_e
69,0.2,0.15945644,0.159955859486,-0.000499419485772,one_over_e
69,0.25,0.159460667242,0.159882141606,-0.000421474363702,one_over_e
69,0.3,0.159457679025,0.159784139867,-0.000326460841812,one_over_e
69,0.35,0.159458121569,0.159667657765,-0.00020953619606,one_over_e
69,0.4,0.159454511881,0.159545624531,-9.11126494769e-05,one_over_e
69,0.45,0.159449753793,0.159411579593,3.81742004808e-05,phi_time
69,0.5,0.159446445892,0.159282540757,0.000163905134301,phi_time
69,0.55,0.159435605763,0.159131691289,0.000303914474071,phi_time
69,0.6,0.15942922642,0.158988635274,0.000440591146046,phi_time
69,0.65,0.1594200352,0.158848438898,0.000571596302635,phi_time
69,0.7,0.15940579856,0.15870622668,0.000699571879888,phi_time
69,0.75,0.159396656644,0.158549416137,0.000847240507232,phi_time
69,0.8,0.159384041736,0.158392605593,0.000991436143091,phi_time
69,0.85,0.159366555516,0.158222513833,0.00114404168303,phi_time
69,0.9,0.159353240173,0.158067649905,0.00128559026836,phi_time
69,0.95,0.159339616015,0.157914781873,0.00142483414237,phi_time
69,1,0.159319647549,0.157761913841,0.00155773370752,phi_time
70,0,0.160988435926,0.164355426684,-0.00336699075857,one_over_e
70,0.05,0.161065018688,0.164346455296,-0.00328143660802,one_over_e
70,0.1,0.161141601451,0.164149100119,-0.00300749866775,one_over_e
70,0.15,0.161218184213,0.163932798668,-0.00271461445496,one_over_e
70,0.2,0.161294766976,0.163710330888,-0.00241556391183,one_over_e
70,0.25,0.161371349738,0.163490538879,-0.00211918914041,one_over_e
70,0.3,0.161447932501,0.163263443435,-0.0018155109339,one_over_e
70,0.35,0.161524515263,0.163035498534,-0.00151098327089,one_over_e
70,0.4,0.161601098026,0.162807553634,-0.00120645560789,one_over_e
70,0.45,0.161677680789,0.162580782846,-0.000903102057501,one_over_e
70,0.5,0.161753994938,0.162336243332,-0.0005822483935,one_over_e
70,0.55,0.161830766921,0.162084199256,-0.000253432334758,one_over_e
70,0.6,0.161907538904,0.161814958279,9.25806242028e-05,phi_time
70,0.65,0.161984310886,0.161534336754,0.000449974132675,phi_time
70,0.7,0.162061082869,0.161269446169,0.000791636699809,phi_time
70,0.75,0.162137854852,0.16102077252,0.00111708233147,phi_time
70,0.8,0.162214626835,0.160765429958,0.0014491968763,phi_time
70,0.85,0.162291398817,0.160495695234,0.00179570358373,phi_time
70,0.9,0.162367749328,0.160233222213,0.00213452711478,phi_time
70,0.95,0.162443763665,0.159980119121,0.00246364454459,phi_time
70,1,0.162519778003,0.15973570103,0.00278407697226,phi_time
71,0,0.166475123818,0.164548151478,0.00192697233983,phi_time
71,0.05,0.166428466456,0.1647134663,0.00171500015643,phi_time
71,0.1,0.166373716896,0.164766962932,0.00160675396463,phi_time
71,0.15,0.166309548268,0.164746727977,0.00156282029111,phi_time
71,0.2,0.166238885729,0.164689789787,0.00154909594219,phi_time
71,0.25,0.166160818214,0.164625678591,0.00153513962309,phi_time
71,0.3,0.166078614624,0.164553625586,0.00152498903816,phi_time
71,0.35,0.165993469071,0.164475454701,0.00151801436932,phi_time
71,0.4,0.165906028144,0.164389288238,0.00151673990591,phi_time
71,0.45,0.165813323909,0.164307115669,0.00150620823928,phi_time
71,0.5,0.165722319058,0.164214900688,0.00150741836978,phi_time
71,0.55,0.165624591672,0.164094660452,0.00152993122036,phi_time
71,0.6,0.165531618505,0.163977313336,0.00155430516922,phi_time
71,0.65,0.165434866357,0.163864686133,0.0015701802241,phi_time
71,0.7,0.165334818074,0.163723793456,0.00161102461763,phi_time
71,0.75,0.165238751368,0.163561570316,0.00167718105237,phi_time
71,0.8,0.165141640554,0.16344325091,0.00169838964411,phi_time
71,0.85,0.165042429291,0.163271995526,0.00177043376502,phi_time
71,0.9,0.164940590098,0.163085994256,0.00185459584182,phi_time
71,0.95,0.164838750904,0.162865871958,0.00197287894609,phi_time
71,1,0.164740525085,0.162644963656,0.00209556142928,phi_time
72,0,0.166632334873,0.167617608916,-0.000985274043619,one_over_e
72,0.05,0.166656817702,0.167761384271,-0.00110456656909,one_over_e
72,0.1,0.166669750904,0.167879795806,-0.00121004490265,one_over_e
72,0.15,0.166672591665,0.167871772742,-0.00119918107724,one_over_e
72,0.2,0.166664751695,0.167753708409,-0.00108895671337,one_over_e
72,0.25,0.166651073239,0.167576727092,-0.000925653852968,one_over_e
72,0.3,0.166629995912,0.167376421895,-0.000746425983046,one_over_e
72,0.35,0.166602264609,0.167148710818,-0.000546446209163,one_over_e
72,0.4,0.166572466727,0.16692146719,-0.000349000462787,one_over_e
72,0.45,0.166538980231,0.166674372091,-0.000135391859413,one_over_e
72,0.5,0.166498008552,0.166432102119,6.59064325893e-05,phi_time
72,0.55,0.16646115601,0.166166319873,0.000294836136966,phi_time
72,0.6,0.166414148856,0.165911472996,0.000502675859837,phi_time
72,0.65,0.166372762456,0.16565798057,0.000714781885749,phi_time
