time (s)	s(t) (um)
0	6.049
0.2	7.187
0.4	7.799
0.6	8.236
0.8	9.242
1	11.179
1.2	11.48
1.4	11.991
1.6	13.405
1.8	15.503
2	15.879
2.2	17.681
2.4	19.351
2.6	21.335
2.8	23.76
3	24.961
3.2	27.195
3.4	28.396
3.6	30.607
3.8	32.569
4	34.227
4.2	39.191
4.4	39.191
4.6	41.216
4.8	43.541
5	47.142
5.2	51.808
5.4	54.096
5.6	58.106
5.8	61.67
6	64.037
6.2	67.41
6.4	68.266
6.6	67.937
6.8	74.056
7	80.158
7.2	81.585
7.4	84.674
7.6	77.391
7.8	86.515
8	91.749
8.2	94.716
8.4	95.464
8.6	102.558
8.8	100.306
9	105.368
9.2	111.411
9.4	107.421
9.6	112.724
9.8	116.673
10	119.582
10.2	120.974
10.4	120.144
10.6	121.287
10.8	127.574
11	132.109
11.2	135.906
11.4	140.331
11.6	145.206
11.8	147.08
12	157.309
12.2	159.12
