time (s)	s(t) (um)
0	2.695
0.2	4.293
0.4	3.784
0.6	5.006
0.8	6.523
1	6.483
1.2	7.677
1.4	7.772
1.6	8.823
1.8	9.087
2	10.617
2.2	11.049
2.4	12.776
2.6	13.778
2.8	14.574
3	16.717
3.2	17.854
3.4	19.523
3.6	20.037
3.8	21.664
4	24.14
4.2	24.041
4.4	25.382
4.6	28.698
4.8	31.367
5	32.344
5.2	34.711
5.4	37.371
5.6	41.296
5.8	40.873
6	42.767
6.2	47.042
6.4	49.141
6.6	54.638
6.8	55.741
7	58.383
7.2	58.005
7.4	61.956
7.6	64.299
7.8	66.713
8	71.31
8.2	77.652
8.4	79.497
8.6	81.568
8.8	84.535
9	91.818
9.2	87.085
9.4	94.783
9.6	98.586
9.8	100.694
10	103.946
10.2	108.681
10.4	107.475
10.6	109.607
10.8	110.854
11	118.089
11.2	117.908
