time (s)	s(t) (um)
0	6.898
0.2	7.869
0.4	10.302
0.6	11.461
0.8	14.586
1	14.954
1.2	17.829
1.4	19.122
1.6	21.397
1.8	24.577
2	27.423
2.2	29.007
2.4	32.012
2.6	34.778
2.8	39.744
3	39.668
3.2	43.815
3.4	45.235
3.6	48.068
3.8	50.89
4	54.583
4.2	54.791
4.4	58.81
4.6	60.642
4.8	60.626
5	64.947
5.2	66.595
5.4	70.57
5.6	75.409
5.8	74.001
6	79.356
6.2	82.092
6.4	84.348
6.6	85.636
6.8	89.436
7	90.521
7.2	93.511
7.4	96.617
7.6	97.862
7.8	96.253
8	100.871
8.2	105.239
8.4	110.108
8.6	112.354
8.8	117.051
9	119.224
9.2	120.441
9.4	121.339
9.6	125.407
9.8	126.91
10	128.025
10.2	135.505
10.4	134.985
10.6	136.128
10.8	140.163
11	147.869
11.2	149.516
11.4	154.48
11.6	153.035
11.8	153.91
12	156.433
12.2	159.313
12.4	159.466
12.6	162.138
12.8	168.953
13	172.33
13.2	174.746
13.4	179.127
13.6	183.828
13.8	187.888
14	195.163
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
