time (s)	R(t) (um)
0	5.9245
0.2	7.06
0.4	8.2545
0.6	8.7125
0.8	9.8165
1	11.3405
1.2	12.6635
1.4	13.222
1.6	14.8085
1.8	16.002
2	17.28
2.2	18.6585
2.4	19.53
2.6	20.9665
2.8	22.6905
3	24.249
3.2	25.994
3.4	27.1375
3.6	29.156
3.8	29.7515
4	31.7855
4.2	33.519
4.4	34.7485
4.6	36.863
4.8	37.785
5	38.4605
5.2	40.5685
5.4	41.6055
5.6	43.557
5.8	44.9425
6	47.054
6.2	47.682
6.4	49.7385
6.6	50.4565
6.8	51.117
7	51.109
7.2	52.7255
7.4	53.7345
7.6	54.945
7.8	56.1695
8	56.121
8.2	57.1435
8.4	57.3245
8.6	57.6585
8.8	57.9835
9	57.8465
9.2	57.0495
9.4	56.5015
9.6	55.238
9.8	55.9255
10	54.8385
10.2	54.2295
10.4	52.425
10.6	51.2785
10.8	49.793
11	46.7285
11.2	43.9865
11.4	40.1695
11.6	34.757
11.8	32.0075
12	28.038
12.2	20.68
