time (s)	R(t) (um)
0	5.4385
0.2	5.6055
0.4	6.7265
0.6	7.844
0.8	8.9135
1	10.103
1.2	10.9025
1.4	11.381
1.6	13.274
1.8	15.0805
2	15.799
2.2	16.9275
2.4	18.2475
2.6	20.26
2.8	21.345
3	23.272
3.2	24.3695
3.4	26.677
3.6	28.004
3.8	29.435
4	30.659
4.2	32.64
4.4	33.8055
4.6	34.5875
4.8	34.9415
5	36.1905
5.2	37.863
5.4	38.707
5.6	39.225
5.8	40.6345
6	41.3245
6.2	42.3705
6.4	41.8085
6.6	41.537
6.8	41.909
7	41.774
7.2	41.554
7.4	40.5945
7.6	40.014
7.8	39.2595
8	37.2195
8.2	35.2935
8.4	33.8555
8.6	31.4665
8.8	27.877
9	25.4835
