time (s)	frame	L(t) (um)
0	66	84.89
0.2	67	83.84
0.4	68	83.634
0.6	69	83.343
0.8	70	82.178
1	71	81.887
1.2	72	81.426
1.4	73	80.552
1.6	74	80.552
1.8	75	80.14
2	76	79.679
2.2	77	79.473
2.4	78	79.182
2.6	79	78.891
2.8	80	78.43
3	81	77.969
3.2	82	77.318
3.4	83	77.318
3.6	84	77.112
3.8	85	76.651
4	86	76.651
4.2	87	76.19
4.4	88	75.984
4.6	89	75.401
4.8	90	75.401
5	91	74.989
5.2	92	74.528
5.4	93	74.116
5.6	94	73.498
5.8	95	73.086
6	96	73.086
6.2	97	73.086
6.4	98	72.262
6.6	99	72.056
6.8	100	71.595
7	101	71.012
7.2	102	70.429
7.4	103	69.846
7.6	104	69.263
7.8	105	68.851
8	106	67.93
8.2	107	67.009
8.4	108	66.426
8.6	109	65.577
8.8	110	64.547
9	111	64.135
9.2	112	63.392
9.4	113	62.191
9.6	114	61.161
9.8	115	60.578
10	116	59.469
10.2	117	57.984
10.4	118	57.366
10.6	119	56.748
10.8	120	55.547
11	121	54.517
11.2	122	52.769
11.4	123	52.357
11.6	124	50.328
11.8	125	49.585
12	126	48.842
12.2	127	47.641
12.4	128	47.18
12.6	129	45.695
12.8	130	44.442
13	131	43.412
13.2	132	42.669
13.4	133	41.287
13.6	134	39.678
13.8	135	39.06
14	136	37.678
14.2	137	36.648
14.4	138	35.483
14.6	139	34.562
14.8	140	33.512
15	141	32.482
