time (s)	R(t) (um)
0	6.6505
0.2	8.413
0.4	9.4435
0.6	9.78
0.8	12.118
1	13.847
1.2	14.5725
1.4	16.2435
1.6	18.0285
1.8	19.7335
2	20.9845
2.2	22.7985
2.4	23.692
2.6	25.7755
2.8	28.249
3	30.7775
3.2	32.5555
3.4	33.005
3.6	35.9015
3.8	37.808
4	39.149
4.2	40.708
4.4	42.165
4.6	44.1175
4.8	43.968
5	46.2805
5.2	46.951
5.4	49.3075
5.6	49.5475
5.8	51.8645
6	53.093
6.2	53.9475
6.4	55.518
6.6	56.49
6.8	57.7665
7	59.154
7.2	60.1745
7.4	61.044
7.6	61.6865
7.8	61.5
8	62.659
8.2	62.109
8.4	62.3445
8.6	62.3095
8.8	62.5925
9	62.718
9.2	62.194
9.4	61.081
9.6	60.503
9.8	59.918
10	59.5425
10.2	58.202
10.4	57.4835
10.6	55.7665
10.8	54.478
11	52.1965
11.2	50.712
11.4	49.0915
11.6	47.138
11.8	45.016
12	43.926
12.2	42.1175
12.4	40.082
12.6	38.4235
12.8	35.448
13	31.68
13.2	25.5125
13.4	23.195
13.6	20.6715
13.8	16.143
14	10.296
