time (s)	R(t) (um)
0	3.1445
0.2	3.421
0.4	3.6005
0.6	4.2805
0.8	4.9595
1	4.5005
1.2	6.373
1.4	6.172
1.6	7.313
1.8	8.2545
2	8.7215
2.2	10.407
2.4	11.212
2.6	11.82
2.8	12.9995
3	14.506
3.2	14.9445
3.4	16.09
3.6	17.246
3.8	18.8925
4	20.3075
4.2	21.5495
4.4	22.107
4.6	24.3045
4.8	25.245
5	27.2395
5.2	28.773
5.4	30.227
5.6	30.6515
5.8	32.6155
6	33.635
6.2	34.9645
6.4	35.412
6.6	35.908
6.8	37.547
7	38.391
7.2	39.625
7.4	39.0665
7.6	40.3785
7.8	39.9905
8	40.3915
8.2	41.117
8.4	42.292
8.6	43.206
8.8	43.445
9	43.8745
9.2	44.4655
9.4	43.985
9.6	43.78
9.8	43.496
10	43.099
10.2	41.763
10.4	41.619
10.6	40.6815
10.8	39.158
11	37.5655
11.2	34.508
11.4	32.1275
11.6	28.022
11.8	24.992
12	19.2355
12.2	17.1425
12.4	11.8
12.6	5.467
