time (s)	R(t) (um)
0	5.7375
0.2	7.33
0.4	8.302
0.6	9.2135
0.8	10.894
1	13.1145
1.2	14.2765
1.4	16.0585
1.6	17.1735
1.8	20.0965
2	22.0965
2.2	24.252
2.4	26.4825
2.6	28.7455
2.8	31.938
3	33.8995
3.2	34.56
3.4	38.387
3.6	39.9135
3.8	42.1135
4	44.5195
4.2	46.4825
4.4	48.2095
4.6	50.5205
4.8	51.906
5	54.0595
5.2	55.291
5.4	57.1
5.6	57.796
5.8	59.361
6	61.1175
6.2	61.172
6.4	62.694
6.6	64.0165
6.8	64.9465
7	65.6075
7.2	66.3425
7.4	66.6365
7.6	67.7395
7.8	67.4945
8	66.9235
8.2	67.7915
8.4	67.5865
8.6	66.6875
8.8	65.7735
9	64.6075
9.2	63.808
9.4	63.075
9.6	61.038
9.8	58.1595
10	56.457
10.2	54.038
10.4	51.17
10.6	48.961
10.8	45.924
11	44.0275
11.2	39.6875
11.4	38.038
11.6	36.25
11.8	32.609
12	28.3745
12.2	23.88
12.4	18.564
12.6	16.261
