time (s)	frame	L(t) (um)
0	17	0
0.2	18	5.276
0.4	19	7.397
0.6	20	9.799
0.8	21	11
1	22	12.485
1.2	23	14.328
1.4	24	15.647
1.6	25	18.333
1.8	26	19.942
2	27	22.245
2.2	28	24.188
2.4	29	25.849
2.6	30	27.609
2.8	31	28.928
3	32	30.871
3.2	33	32.532
3.4	34	34.304
3.6	35	36.258
3.8	36	38.101
4	37	39.022
4.2	38	41.143
4.4	39	43.333
4.6	40	45.093
4.8	41	46.853
5	42	48.913
5.2	43	50.232
5.4	44	52.131
5.6	45	53.879
5.8	46	56.368
6	47	58.779
6.2	48	60.839
6.4	49	62.296
6.6	50	63.461
6.8	51	64.78
7	52	65.889
7.2	53	68.108
7.4	54	69.217
7.6	55	71.246
7.8	56	72.411
8	57	74.44
8.2	58	75.759
8.4	59	77.519
8.6	60	79.088
8.8	61	80.391
9	62	81.773
9.2	63	84.175
9.4	64	85.096
9.6	65	85.096
