time (s)	R(t) (um)
0	6.454
0.2	6.9595
0.4	7.695
0.6	8.338
0.8	9.239
1	9.161
1.2	10.106
1.4	10.1185
1.6	10.998
1.8	11.696
2	12.2805
2.2	12.998
2.4	14.228
2.6	14.394
2.8	15.145
3	15.5435
3.2	17.1445
3.4	17.114
3.6	18.3485
3.8	18.7295
4	19.6095
4.2	20.346
4.4	21.0825
4.6	21.812
4.8	22.961
5	23.211
5.2	24.2735
5.4	24.5625
5.6	25.8725
5.8	26.56
6	27.182
6.2	27.661
6.4	28.3435
6.6	29.2705
6.8	29.7955
7	30.869
7.2	31.9235
7.4	32.784
7.6	33.224
7.8	34.0725
8	34.479
8.2	34.875
8.4	35.282
8.6	36.1455
8.8	36.667
9	37.1365
9.2	37.504
9.4	37.7765
9.6	38.875
9.8	38.735
10	39.1935
10.2	39.6095
10.4	39.883
10.6	40.8955
10.8	40.735
11	41.5005
11.2	41.577
11.4	41.9415
11.6	41.6515
11.8	41.6865
12	42.1745
12.2	41.7295
12.4	41.7195
12.6	42.312
12.8	42.3555
13	42.128
13.2	42.502
13.4	42.356
13.6	41.8225
13.8	41.901
14	42.231
14.2	40.871
14.4	40.8895
14.6	41.5795
14.8	40.3705
15	40.5295
15.2	39.9225
15.4	40.0995
15.6	39.964
15.8	39.1395
16	38.8015
16.2	39.3455
16.4	39.5315
16.6	39.675
16.8	38.1435
17	37.8935
17.2	38.156
17.4	37.592
17.6	37.6135
17.8	37.291
18	38.3095
18.2	37.2405
18.4	37.1555
18.6	37.062
18.8	36.9995
19	37.225
19.2	36.312
19.4	36.5805
19.6	36.214
19.8	36.449
20	36.083
20.2	37.044
20.4	36.7175
20.6	36.1675
20.8	36.1225
21	35.7555
21.2	35.4345
21.4	35.3915
21.6	35.4895
21.8	35.8025
22	34.6545
22.2	34.6695
22.4	34.93
22.6	35.068
22.8	34.9765
23	34.2445
23.2	33.9685
23.4	33.795
23.6	33.928
23.8	33.833
24	33.699
24.2	33.1455
24.4	33.3315
24.6	32.0435
24.8	31.7695
25	32.18
