time (s)	frame	L(t) (um)
0	63	0
0.2	64	3.353
0.4	65	4.096
0.6	66	4.508
0.8	67	5.429
1	68	6.172
1.2	69	7.093
1.4	70	7.554
1.6	71	8.015
1.8	72	8.666
2	73	9.317
2.2	74	9.608
2.4	75	10.191
2.6	76	10.934
2.8	77	11.855
3	78	12.473
3.2	79	13.056
3.4	80	13.977
3.6	81	14.72
3.8	82	15.594
4	83	16.337
4.2	84	16.92
4.4	85	17.663
4.6	86	18.406
4.8	87	19.255
5	88	19.998
5.2	89	21.107
5.4	90	21.69
5.6	91	22.799
5.8	92	23.26
6	93	24.003
6.2	94	24.924
6.4	95	25.507
6.6	96	26.381
6.8	97	27.411
7	98	28.062
7.2	99	28.713
7.4	100	29.587
7.6	101	30.508
7.8	102	30.92
8	103	31.794
8.2	104	32.643
8.4	105	32.934
8.6	106	33.395
8.8	107	34.046
9	108	34.789
9.2	109	35.08
9.4	110	35.823
9.6	111	36.474
9.8	112	36.935
10	113	37.518
10.2	114	37.979
10.4	115	38.44
10.6	116	39.091
10.8	117	39.674
11	118	40.595
11.2	119	41.246
11.4	120	41.707
11.6	121	42.556
11.8	122	43.017
12	123	43.76
12.2	124	44.221
12.4	125	44.221
