time (s)	s(t) (um)
0	5.718
0.2	6.913
0.4	7.537
0.6	8.16
0.8	8.78
1	8.971
1.2	9.191
1.4	9.264
1.6	11.299
1.8	11.635
2	12.098
2.2	11.994
2.4	13.899
2.6	14.708
2.8	15.691
3	16.701
3.2	17.74
3.4	19.711
3.6	20.62
3.8	21.135
4	23.075
4.2	23.949
4.4	27.188
4.6	30.141
4.8	31.021
5	31.692
5.2	32.423
5.4	33.902
5.6	34.924
5.8	37.647
6	40.495
6.2	40.07
6.4	41.878
6.6	43.599
6.8	45.751
7	47.174
7.2	49.015
7.4	53.117
7.6	54.577
7.8	57.276
8	58.214
8.2	58.739
8.4	60.551
8.6	64.703
8.8	62.421
9	65.632
9.2	71.12
9.4	72.695
9.6	74.07
9.8	77.53
10	79.784
10.2	80.246
10.4	80.645
10.6	84.712
10.8	88.727
11	91.606
11.2	89.371
11.4	92.734
11.6	95.411
11.8	97.387
12	99.747
12.2	101.042
12.4	99.861
12.6	105.931
12.8	103.096
13	109.047
13.2	108.894
13.4	112.892
13.6	113.787
13.8	114.973
14	119.149
