time (s)	s(t) (um)					
0	6.36					
0.2	6.51					
0.4	8.817					
0.6	9.687					
0.8	9.481					
1	10.028					
1.2	11.735					
1.4	13.178					
1.6	13.175					
1.8	14.858					
2	16.854					
2.2	15.765					
2.4	16.776					
2.6	18.707					
2.8	19.552					
3	21.116					
3.2	21.906					
3.4	24.774					
3.6	23.131					
3.8	24.907					
4	26.252					
4.2	26.053					
4.4	27.751					
4.6	27.802					
4.8	29.922					
5	30.58					
5.2	32.822					
5.4	35.135					
5.6	33.693					
5.8	35.732					
6	38.247					
6.2	39.318					
6.4	39.405					
6.6	40.291					
6.8	42.685					
7	41.795					
7.2	44.953					
7.4	45.455					
7.6	46.306					
7.8	48.193					
8	49.359					
8.2	49.744					
8.4	50.678					
8.6	48.674					
8.8	50.591					
9	52.877					
9.2	53.656					
9.4	55.294					
9.6	59.047					
9.8	57.556					
10	58.253					
10.2	57.079					
10.4	59.318					
10.6	60.588					
10.8	62.5					
11	66.086					
11.2	68.896					
11.4	72.286					
11.6	70.987					
11.8	73.634					
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
