time (s)	R(t) (um)
0	7.823
0.2	9.173
0.4	10.5355
0.6	11.898
0.8	13.066
1	13.5735
1.2	14.635
1.4	14.8565
1.6	16.138
1.8	17.832
2	18.2555
2.2	19.8495
2.4	21.5445
2.6	23.3345
2.8	24.7135
3	26.3735
3.2	27.144
3.4	28.743
3.6	29.358
3.8	31.5575
4	33.745
4.2	35.623
4.4	37.4765
4.6	37.4705
4.8	40.262
5	40.2
5.2	40.8775
5.4	44.326
5.6	45.291
5.8	46.361
6	47.521
6.2	48.5675
6.4	50.8945
6.6	50.7505
6.8	52.7845
7	54.2145
7.2	55.344
7.4	55.6585
7.6	57.3345
7.8	58.3745
8	59.024
8.2	60.0415
8.4	61.0585
8.6	60.7025
8.8	62.327
9	61.885
9.2	62.772
9.4	63.449
9.6	63.3625
9.8	64.807
10	65.205
10.2	65.475
10.4	65.463
10.6	65.855
10.8	65.9745
11	67.089
11.2	66.584
11.4	66.573
11.6	66.2755
11.8	67.095
12	66.538
12.2	66.761
12.4	66.545
12.6	67.102
12.8	66.2395
13	66.669
13.2	65.7
13.4	65.86
13.6	65.8955
13.8	66.033
14	65.59
14.2	64.952
14.4	64.8265
14.6	64.3715
