time (s)	R(t) (um)
0	3.4805
0.2	4.625
0.4	4.7735
0.6	5.1965
0.8	6.3535
1	7.034
1.2	7.7475
1.4	9.111
1.6	10.115
1.8	11.3495
2	12.8045
2.2	14.6005
2.4	15.5325
2.6	17.055
2.8	18.671
3	20.407
3.2	22.209
3.4	23.8035
3.6	25.2375
3.8	26.3175
4	28.3745
4.2	29.6175
4.4	30.9035
4.6	31.8175
4.8	33.0905
5	34.03
5.2	34.722
5.4	35.1875
5.6	35.932
5.8	35.8875
6	36.011
6.2	35.4025
6.4	34.6045
6.6	33.7605
6.8	30.6685
7	26.3385
