time (s)	frame	L(t) (um)
0	47	94.047
0.2	48	94.047
0.4	49	93.635
0.6	50	93.429
0.8	51	93.017
1	52	92.605
1.2	53	91.987
1.4	54	91.244
1.6	55	90.593
1.8	56	90.593
2	57	90.132
2.2	58	90.132
2.4	59	90.132
2.6	60	89.481
2.8	61	88.863
3	62	88.863
3.2	63	88.657
3.4	64	88.451
3.6	65	88.245
3.8	66	87.833
4	67	87.627
4.2	68	87.627
4.4	69	87.421
4.6	70	87.421
4.8	71	86.5
5	72	86.5
5.2	73	86.294
5.4	74	85.882
5.6	75	85.421
5.8	76	85.215
6	77	85.215
6.2	78	85.215
6.4	79	84.472
6.6	80	84.472
6.8	81	84.472
7	82	84.011
7.2	83	83.55
7.4	84	83.55
7.6	85	83.55
7.8	86	83.089
8	87	83.089
8.2	88	82.883
8.4	89	82.422
8.6	90	82.216
8.8	91	82.216
9	92	81.804
9.2	93	81.598
9.4	94	81.186
9.6	95	80.603
9.8	96	80.191
10	97	80.191
