time (s)	s(t) (um)
0	8.584
0.2	8.312
0.4	9.236
0.6	11.469
0.8	11.371
1	13.681
1.2	15.716
1.4	16.705
1.6	18.564
1.8	19.894
2	20.974
2.2	22.311
2.4	23.091
2.6	23.929
2.8	26.293
3	28.902
3.2	29.729
3.4	30.008
3.6	32.908
3.8	33.776
4	35.73
4.2	36.717
4.4	40.66
4.6	42.859
4.8	43.747
5	43.83
5.2	44.834
5.4	48.117
5.6	50.326
5.8	51.862
6	52.944
6.2	54.81
6.4	55.46
6.6	57.438
6.8	60.207
7	61.699
7.2	64.675
7.4	66.074
7.6	67.391
7.8	68.821
8	70.683
8.2	72.405
8.4	76.29
8.6	76.828
8.8	77.967
9	81.42
9.2	82.102
9.4	83.295
9.6	84.57
9.8	86.655
10	88.809
10.2	89.788
10.4	89.651
10.6	90.746
10.8	93.787
11	95.676
11.2	96.302
11.4	97.918
11.6	98.747
11.8	98.615
12	101.536
12.2	103.263
12.4	104.952
12.6	105.261
12.8	108.662
13	108.509
13.2	110.529
13.4	114.731
13.6	116.705
13.8	119.549
14	120.165
14.2	124.613
14.4	123.843
14.6	126.138
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
