candidate,orientation,cosine,absolute_cosine,registered_shift_rank_of_8,best_shift,best_shift_absolute_cosine,same_archive
area-normalized flavor-shape contrast (post-frozen),direct,0.13412264015708653,0.13412264015708653,8,1,0.7757498217373775,True
area-normalized flavor-shape contrast (post-frozen),reversed,-0.7799958161657469,0.7799958161657469,1,0,0.7799958161657469,True
