candidate,orientation,cosine,absolute_cosine,registered_shift_rank_of_8,best_shift,best_shift_absolute_cosine,sign_transitions,same_archive
anti_nu_mu release,direct,0.9568845644706456,0.9568845644706456,1,0,0.9568845644706456,2,True
flavor contrast (anti_nu_mu - nu_e),direct,0.9565121821725522,0.9565121821725522,1,0,0.9565121821725522,2,True
delayed total release,direct,0.9549315223466316,0.9549315223466316,1,0,0.9549315223466316,2,True
nu_e release,direct,0.9502957884384295,0.9502957884384295,1,0,0.9502957884384295,2,True
release gradient,reversed,-0.7694957442363206,0.7694957442363206,1,0,0.7694957442363206,2,True
remaining-muon curvature,reversed,0.7693285237043338,0.7693285237043338,1,0,0.7693285237043338,2,True
remaining muon,reversed,-0.7319640497265829,0.7319640497265829,2,1,0.8487121389823035,2,True
released muon,reversed,0.7319640497265829,0.7319640497265829,2,1,0.8487121389823035,2,True
remaining muon,direct,0.7033685928617714,0.7033685928617714,2,1,0.8675846579507709,2,True
released muon,direct,-0.7033685928617714,0.7033685928617714,2,1,0.8675846579507709,2,True
flavor contrast (anti_nu_mu - nu_e),reversed,-0.3798918827286739,0.3798918827286739,6,1,0.9262755257587639,2,True
anti_nu_mu release,reversed,-0.28877486971088995,0.28877486971088995,7,1,0.8934609870458228,2,True
delayed total release,reversed,-0.2673257855421983,0.2673257855421983,7,1,0.8840548195060438,2,True
nu_e release,reversed,-0.23293637646703547,0.23293637646703547,7,1,0.867734206972166,2,True
release gradient,direct,0.15437225092354737,0.15437225092354737,6,1,0.7793211290492572,2,True
remaining-muon curvature,direct,-0.15350276188076203,0.15350276188076203,6,1,0.7788682102823845,2,True
