ara_x,time_us,series,raw_value,centered_unit,centered_maxabs,evidence_class
0.125,0.619729890024402,T402 detector C-AC,-0.0058098225506609,-0.11407572272889707,-0.1807349047388443,measured detector source-difference diagnostic
0.375,0.7214737274186941,T402 detector C-AC,0.026608659374762,0.5224603716472759,0.827755662998503,measured detector source-difference diagnostic
0.625,0.823217564812986,T402 detector C-AC,0.0246289040063159,0.48358792373469517,0.7661684295155081,measured detector source-difference diagnostic
0.875,0.9249614022072781,T402 detector C-AC,0.0072241156442643,0.14184533279813108,0.22473145115937807,measured detector source-difference diagnostic
1.125,1.0267052396015701,T402 detector C-AC,-0.004315530739015,-0.08473533980068046,-0.13424971764838234,measured detector source-difference diagnostic
1.375,1.1284490769958622,T402 detector C-AC,-0.0058326005352195,-0.11452296789485045,-0.18144349382800215,measured detector source-difference diagnostic
1.625,1.2301929143901542,T402 detector C-AC,-0.010358177227542,-0.20338255481683198,-0.32222742745816046,measured detector source-difference diagnostic
1.875,1.3319367517844463,T402 detector C-AC,-0.0321455479729048,-0.6311770429388421,-1.0,measured detector source-difference diagnostic
0.125,0.619729890024402,delayed total release,0.8700534857717955,-0.1456593409729713,-0.2539307754701254,fitted source template
0.375,0.7214737274186941,delayed total release,0.9849880046986832,0.4189514294674605,0.7303662137859777,fitted source template
0.625,0.823217564812986,delayed total release,0.995681422885405,0.47148237610923793,0.8219444395820258,fitted source template
0.875,0.9249614022072781,delayed total release,0.9591624171279622,0.2920843661036929,0.5091963830948107,fitted source template
1.125,1.0267052396015701,delayed total release,0.9129976152160525,0.06530180662481364,0.11384191556184575,fitted source template
1.375,1.1284490769958622,delayed total release,0.867582630211796,-0.15779731026543226,-0.27509113452762735,fitted source template
1.625,1.2301929143901542,delayed total release,0.8242341074564195,-0.37074502222250644,-0.646327042026912,fitted source template
1.875,1.3319367517844463,delayed total release,0.7829363774767641,-0.5736183048442978,-1.0,fitted source template
0.125,0.619729890024402,nu_e release,0.33431166415763897,-0.1841167128497505,-0.3246178699875068,fitted source template
0.375,0.7214737274186941,nu_e release,0.3810931490716294,0.4091519602210196,0.7213795845711596,fitted source template
0.625,0.823217564812986,nu_e release,0.3864021323316345,0.47647888367821484,0.8400843026122748,fitted source template
0.875,0.9249614022072781,nu_e release,0.3725999864094301,0.3014442345675676,0.5314791027427946,fitted source template
1.125,1.0267052396015701,nu_e release,0.35475869095122314,0.0751863100528938,0.1325616748410449,fitted source template
1.375,1.1284490769958622,nu_e release,0.33712312399359157,-0.1484626277061524,-0.2617558245135958,fitted source template
1.625,1.2301929143901542,nu_e release,0.3202452916327203,-0.3625022039926779,-0.639130970266175,fitted source template
1.875,1.3319367517844463,nu_e release,0.3041056834560042,-0.5671798439711172,-1.0,fitted source template
0.125,0.619729890024402,anti_nu_mu release,0.5357418216141566,-0.12121901391869921,-0.21004875628986303,fitted source template
0.375,0.7214737274186941,anti_nu_mu release,0.6038948556270538,0.42471345387902004,0.7359450459372089,fitted source template
0.625,0.823217564812986,anti_nu_mu release,0.6092792905537704,0.46784488434009597,0.8106833483905517,fitted source template
0.875,0.9249614022072781,anti_nu_mu release,0.5865624307185322,0.2858739489284815,0.49536343752451906,fitted source template
1.125,1.0267052396015701,anti_nu_mu release,0.5582389242648294,0.058991580463000126,0.10222082911957353,fitted source template
1.375,1.1284490769958622,anti_nu_mu release,0.5304595062182044,-0.16353242698336742,-0.2833695951689339,fitted source template
1.625,1.2301929143901542,anti_nu_mu release,0.5039888158236991,-0.37557301388734726,-0.6507943095130507,fitted source template
1.875,1.3319367517844463,anti_nu_mu release,0.4788306940207599,-0.5770994128211806,-1.0,fitted source template
0.125,0.619729890024402,flavor contrast (anti_nu_mu - nu_e),0.20143015745651766,-0.013200514709439101,-0.022490095046969066,fitted source template
0.375,0.7214737274186941,flavor contrast (anti_nu_mu - nu_e),0.22280170655542442,0.445957080762945,0.7597898531983573,fitted source template
0.625,0.823217564812986,flavor contrast (anti_nu_mu - nu_e),0.22287715822213588,0.4475781240341318,0.762551671055215,fitted source template
0.875,0.9249614022072781,flavor contrast (anti_nu_mu - nu_e),0.2139624443091021,0.25604972402487913,0.4362392495159316,fitted source template
1.125,1.0267052396015701,flavor contrast (anti_nu_mu - nu_e),0.2034802333136062,0.030844392691537166,0.05255047538431813,fitted source template
1.375,1.1284490769958622,flavor contrast (anti_nu_mu - nu_e),0.1933363822246128,-0.18709143654090685,-0.31875303977883784,fitted source template
1.625,1.2301929143901542,flavor contrast (anti_nu_mu - nu_e),0.18374352419097884,-0.393189441325063,-0.6698881143280112,fitted source template
1.875,1.3319367517844463,flavor contrast (anti_nu_mu - nu_e),0.1747250105647557,-0.5869479289380817,-1.0,fitted source template
0.125,0.619729890024402,remaining muon,0.9282549568869868,0.5519833987299073,1.0,derived from fitted delayed template
0.375,0.7214737274186941,remaining muon,0.8850530737880729,0.39465148660568466,0.7149698478500669,derived from fitted delayed template
0.625,0.823217564812986,remaining muon,0.8392066552434801,0.22768874849648577,0.41249202244195904,derived from fitted delayed template
0.875,0.9249614022072781,remaining muon,0.7941563223373456,0.06362518206057897,0.11526647759149655,derived from fitted delayed template
1.125,1.0267052396015701,remaining muon,0.7510977021916276,-0.09318499738103628,-0.16881847822860502,derived from fitted delayed template
1.375,1.1284490769958622,remaining muon,0.7101559325203338,-0.24228606534573568,-0.4389372323573981,derived from fitted delayed template
1.625,1.2301929143901542,remaining muon,0.67125590946278,-0.3839515338464629,-0.6955852924742314,derived from fitted delayed template
1.875,1.3319367517844463,remaining muon,0.6343029496253286,-0.5185262193194207,-0.9393873448232857,derived from fitted delayed template
0.125,0.619729890024402,released muon,0.07174504311301322,-0.5519833987299073,-1.0,derived from fitted delayed template
0.375,0.7214737274186941,released muon,0.11494692621192715,-0.39465148660568455,-0.7149698478500668,derived from fitted delayed template
0.625,0.823217564812986,released muon,0.16079334475651985,-0.22768874849648565,-0.4124920224419589,derived from fitted delayed template
0.875,0.9249614022072781,released muon,0.20584367766265443,-0.06362518206057888,-0.11526647759149639,derived from fitted delayed template
1.125,1.0267052396015701,released muon,0.24890229780837236,0.09318499738103637,0.16881847822860524,derived from fitted delayed template
1.375,1.1284490769958622,released muon,0.2898440674796662,0.2422860653457358,0.4389372323573984,derived from fitted delayed template
1.625,1.2301929143901542,released muon,0.32874409053722,0.383951533846463,0.6955852924742317,derived from fitted delayed template
1.875,1.3319367517844463,released muon,0.3656970503746714,0.5185262193194208,0.9393873448232861,derived from fitted delayed template
0.125,0.619729890024402,release gradient,1.791473851763833,0.8524050036656892,1.0,derived from fitted delayed template
0.375,0.7214737274186941,release gradient,0.5183954649494971,0.24856696409595624,0.2916066459335843,derived from fitted delayed template
0.625,0.823217564812986,release gradient,-0.2088942589117006,-0.09639624131553051,-0.11308737149710216,derived from fitted delayed template
0.875,0.9249614022072781,release gradient,-0.4435458815911305,-0.20769463212017134,-0.24365721837272153,derived from fitted delayed template
1.125,1.0267052396015701,release gradient,-0.4545005310301453,-0.21289056829341899,-0.24975283741637216,derived from fitted delayed template
1.375,1.1284490769958622,release gradient,-0.4365935020804701,-0.20439702589455075,-0.23978862748993748,derived from fitted delayed template
1.625,1.2301929143901542,release gradient,-0.41578186240266607,-0.19452578793038788,-0.22820817228177645,derived from fitted delayed template
1.875,1.3319367517844463,release gradient,-0.39584129722705685,-0.1850677122075861,-0.21711241887567467,derived from fitted delayed template
0.125,0.619729890024402,remaining-muon curvature,-0.8070615304699702,-0.8527571187532431,-1.0,derived from fitted delayed template
0.375,0.7214737274186941,remaining-muon curvature,-0.232205678035893,-0.24783868966605085,-0.29063221427972197,derived from fitted delayed template
0.625,0.823217564812986,remaining-muon curvature,0.09534839245599425,0.0968451000598098,0.11356703794088555,derived from fitted delayed template
0.875,0.9249614022072781,remaining-muon curvature,0.20065754528967156,0.20766148477767513,0.2435177381823356,derived from fitted delayed template
1.125,1.0267052396015701,remaining-muon curvature,0.2054953088558736,0.21275224331195966,0.24948750193139393,derived from fitted delayed template
1.375,1.1284490769958622,remaining-muon curvature,0.19737931116910945,0.20421181261030708,0.23947242200554242,derived from fitted delayed template
1.625,1.2301929143901542,remaining-muon curvature,0.18797013417263944,0.19431057468499485,0.22786156856606818,derived from fitted delayed template
1.875,1.3319367517844463,remaining-muon curvature,0.17894607340944702,0.1848145929745473,0.21672594565349612,derived from fitted delayed template
