family,start_index,x0,x1,x2,closure_residual,normalized_closure_residual
Fibonacci,0,1,2,3,0,0.0
Fibonacci,1,2,3,5,0,0.0
Fibonacci,2,3,5,8,0,0.0
Fibonacci,3,5,8,13,0,0.0
Fibonacci,4,8,13,21,0,0.0
Fibonacci,5,13,21,34,0,0.0
Fibonacci,6,21,34,55,0,0.0
Fibonacci,7,34,55,89,0,0.0
Fibonacci,8,55,89,144,0,0.0
Lucas,0,1,3,4,0,0.0
Lucas,1,3,4,7,0,0.0
Lucas,2,4,7,11,0,0.0
Lucas,3,7,11,18,0,0.0
Lucas,4,11,18,29,0,0.0
Lucas,5,18,29,47,0,0.0
Lucas,6,29,47,76,0,0.0
Lucas,7,47,76,123,0,0.0
F4,0,1,4,5,0,0.0
F4,1,4,5,9,0,0.0
F4,2,5,9,14,0,0.0
F4,3,9,14,23,0,0.0
F4,4,14,23,37,0,0.0
F4,5,23,37,60,0,0.0
F4,6,37,60,97,0,0.0
Double Fibonacci,0,2,4,6,0,0.0
Double Fibonacci,1,4,6,10,0,0.0
Double Fibonacci,2,6,10,16,0,0.0
Double Fibonacci,3,10,16,26,0,0.0
Double Fibonacci,4,16,26,42,0,0.0
Double Fibonacci,5,26,42,68,0,0.0
Double Fibonacci,6,42,68,110,0,0.0
F5,0,1,5,6,0,0.0
F5,1,5,6,11,0,0.0
F5,2,6,11,17,0,0.0
F5,3,11,17,28,0,0.0
F5,4,17,28,45,0,0.0
F5,5,28,45,73,0,0.0
F8,0,1,8,9,0,0.0
F8,1,8,9,17,0,0.0
F8,2,9,17,26,0,0.0
F8,3,17,26,43,0,0.0
F8,4,26,43,69,0,0.0
F8,5,43,69,112,0,0.0
