dataset,arm,event_index,phase_direction,a0_swing_index,b_swing_index,a1_swing_index,time_mid_s,a0_duration_s,b_duration_s,a1_duration_s,q_angle_time,direct_angle_time,leg0_angle_time,leg1_angle_time,q_angle_only,direct_angle_only,leg0_angle_only,leg1_angle_only,q_phase_space_time,direct_phase_space_time,leg0_phase_space_time,leg1_phase_space_time
free_run3,1,0,decreasing,1,2,3,1.7080000000000002,0.6999999999999993,0.36400000000000077,0.4819999999999993,1.9490937711853251,1.4446049752299555,0.8250688508779007,0.6572661671560763,0.6746054621231392,0.09585922362221354,0.13091091927256343,0.15328252120306632,0.6825793175608513,2.002045046482096,2.657048364546523,3.209068568607155
free_run3,1,1,increasing,2,3,4,2.1310000000000002,0.36400000000000077,0.4819999999999993,0.19200000000000017,1.9223047940617113,1.1508836442719683,0.6572661671560763,0.5401335873752768,0.6523881558001093,0.09377971192057372,0.15328252120306632,0.13421415109797918,0.5826012807596926,1.6060812299594203,3.209068568607155,2.3044147792672054
free_run3,1,2,increasing,5,6,7,3.603999999999999,0.7699999999999996,0.5399999999999991,0.26000000000000156,1.9674488707188706,1.6059176448329915,1.0021397217064156,0.6303475756597597,0.47602921893115907,0.06767963452871585,0.14509973231702325,0.1392510253136899,0.7793548683651165,2.1276301474286266,2.561777994657393,2.8981998249252072
free_run3,1,3,increasing,8,9,10,4.968,0.6660000000000004,0.3359999999999985,0.6920000000000002,1.9346824094838988,1.5302484483634675,0.7801010262434709,0.8018107551032988,0.5082321309756164,0.06977382391105119,0.13548207878927734,0.13909254826986372,0.6317601172653579,1.8328752592499724,2.8541011073811413,2.948339436614486
free_run3,1,4,increasing,11,12,13,6.332999999999998,0.23999999999999844,0.5300000000000011,0.5579999999999998,1.9567377192836415,1.408114352499619,0.6073847518311866,0.8318621524653456,0.5641224132060804,0.076833173659841,0.12877038475888447,0.14362855512075817,0.6592734177110118,1.6763898375109092,2.4583304825283943,2.627237333420599
free_run3,1,5,decreasing,12,13,14,6.876999999999999,0.5300000000000011,0.5579999999999998,0.2259999999999991,1.9594482485611269,1.4188707614448617,0.8318621524653456,0.6163728417344501,0.7476679006579033,0.0915040702952328,0.14362855512075817,0.10114340904866695,0.7547872023616236,1.6842118728159998,2.627237333420599,1.8355089016674795
free_run3,1,6,decreasing,15,16,17,8.163999999999998,0.5480000000000018,0.4679999999999964,0.9359999999999999,1.9651143618356324,1.8304879165430041,0.7778369252259734,1.0851466772480605,0.2406377021212997,0.03239548671156853,0.13595790204235744,0.13328907319046568,0.8591102303578124,2.124821104952718,2.6399891309875003,2.3065730908772006
free_run3,1,7,increasing,16,17,18,8.865999999999996,0.4679999999999964,0.9359999999999999,0.5060000000000002,1.9530086700133589,2.143467408417765,1.0851466772480605,1.1098946877276552,0.28417565000397466,0.037636429371766915,0.13328907319046568,0.13159237862456852,1.0127341318481018,2.298963483404564,2.3065730908772006,2.233539483800753
free_run3,1,8,decreasing,17,18,19,9.586999999999996,0.9359999999999999,0.5060000000000002,0.9000000000000057,1.9583063466324164,2.1448289493416817,1.1098946877276552,1.0805991060855726,0.21952957956569902,0.028745383964736953,0.13159237862456852,0.13028926868332213,1.0080555311820039,2.2579332392171656,2.233539483800753,2.2462399913827364
free_run3,1,9,increasing,18,19,20,10.29,0.5060000000000002,0.9000000000000057,0.4059999999999988,1.9500409522054487,2.042712528037697,1.0805991060855726,1.0144466679300337,0.13724125042718854,0.01737679875425215,0.13028926868332213,0.12294069971413384,0.9542278075792318,2.1362740179029154,2.2462399913827364,2.231252701525473
free_run3,1,10,decreasing,19,20,21,10.943000000000001,0.9000000000000057,0.4059999999999988,0.6820000000000022,1.9494301470908382,1.805516341060798,1.0144466679300337,0.8379062812178957,0.2525726498043749,0.031623661730013776,0.12294069971413384,0.12747170047652223,0.8444989690278658,1.9476870336453918,2.231252701525473,2.3813924409249596
free_run3,1,11,decreasing,22,23,24,12.299,0.2119999999999962,0.5180000000000007,0.5140000000000029,1.9607111763076683,1.3356851147003446,0.5749335369615397,0.7875160995174573,0.6819732600766866,0.07829158311482201,0.1020059959424831,0.12759709173875025,0.7764075193174675,1.5289189012237459,1.6606493460802607,2.277794997085823
free_run3,1,12,increasing,23,24,25,12.815000000000001,0.5180000000000007,0.5140000000000029,0.8319999999999936,1.9770642016082696,1.796197428041077,0.7875160995174573,1.0295189027651555,0.25092747359190665,0.030426236485648173,0.12759709173875025,0.11491311290413848,0.8957576125054029,1.8915824426339982,2.277794997085823,1.945629769226367
free_run3,1,13,decreasing,24,25,26,13.488,0.5140000000000029,0.8319999999999936,0.46400000000000574,1.9642195901793376,1.9896603321753603,1.0295189027651555,0.9963852701931235,0.15369106116554968,0.018051842677770522,0.11491311290413848,0.11999765602243978,1.0290548969386737,2.0872248691089594,1.945629769226367,2.1109562794251215
free_run3,1,14,increasing,25,26,27,14.136,0.8319999999999936,0.46400000000000574,0.9059999999999988,1.9561847715375897,2.00784810217111,0.9963852701931235,1.0564352316175638,0.12539531028076265,0.015021022438730974,0.11999765602243978,0.11958103962572442,0.9809597602972415,2.0462849869632356,2.1109562794251215,2.061049688165616
free_run3,1,15,decreasing,26,27,28,14.821000000000002,0.46400000000000574,0.9059999999999988,0.4819999999999993,1.9550779135820964,2.0768883174228363,1.0564352316175638,1.0681740261460397,0.13911069231119827,0.01657169819868477,0.11958103962572442,0.11867092969972425,1.0238443332079186,2.0928282414980575,2.061049688165616,2.0271269488838626
free_run3,1,16,increasing,27,28,29,15.515,0.9059999999999988,0.4819999999999993,0.8740000000000023,1.9584495182104427,2.0663713570896562,1.0681740261460397,1.0420374833932293,0.132111917996516,0.015579371547036123,0.11867092969972425,0.11718018476894881,1.0314718467893387,2.0914261789210795,2.0271269488838626,2.02809992993219
free_run3,1,17,decreasing,28,29,30,16.193,0.4819999999999993,0.8740000000000023,0.4619999999999962,1.9583629495390125,2.0271522460407336,1.0420374833932293,1.0282143527313397,0.08761385404452,0.010041990979922494,0.11718018476894881,0.11205276222182661,1.0290960681194035,2.0476821947364003,2.02809992993219,1.9514744911000217
