dataset,middle_shift_fraction,window,time_mid_s,eligible_samples,q_median,angle_median_degrees,leg_balance_median,branch
free_run3,0.0,9,0.9915000000000003,16,1.503339877743325,31.866624523385653,0.15760567490511446,A-positive
free_run3,0.0,10,1.0394999999999985,80,1.2317052443489405,17.534908500322278,0.24690217270239423,B-negative
free_run3,0.0,28,2.8584999999999994,62,1.155070975771551,9.102892948935516,0.2710091481031097,B-negative
free_run3,0.0,88,8.868000000000002,41,1.5006157180674808,11.551396183940911,0.144530031094824,A-positive
