family,from_index,to_index,child,parent,ratio,abs_error_phi
Fibonacci,0,1,1,2,2.0,0.3819660112501051
Fibonacci,1,2,2,3,1.5,0.1180339887498949
Fibonacci,2,3,3,5,1.6666666666666667,0.04863267791677184
Fibonacci,3,4,5,8,1.6,0.018033988749894814
Fibonacci,4,5,8,13,1.625,0.0069660112501050975
Fibonacci,5,6,13,21,1.6153846153846154,0.0026493733652794837
Fibonacci,6,7,21,34,1.619047619047619,0.0010136302977241662
Fibonacci,7,8,34,55,1.6176470588235294,0.00038692992636546464
Fibonacci,8,9,55,89,1.6181818181818182,0.00014782943192326314
Fibonacci,9,10,89,144,1.6179775280898876,5.6460660007306984e-05
Lucas,0,1,1,3,3.0,1.381966011250105
Lucas,1,2,3,4,1.3333333333333333,0.28470065541656164
Lucas,2,3,4,7,1.75,0.1319660112501051
Lucas,3,4,7,11,1.5714285714285714,0.046605417321323506
Lucas,4,5,11,18,1.6363636363636365,0.018329647613741562
Lucas,5,6,18,29,1.6111111111111112,0.006922877638783742
Lucas,6,7,29,47,1.6206896551724137,0.0026556664225187987
Lucas,7,8,47,76,1.6170212765957446,0.0010127121541503303
Lucas,8,9,76,123,1.618421052631579,0.0003870638816840799
F4,0,1,1,4,4.0,2.381966011250105
F4,1,2,4,5,1.25,0.3680339887498949
F4,2,3,5,9,1.8,0.18196601125010514
F4,3,4,9,14,1.5555555555555556,0.06247843319433932
F4,4,5,14,23,1.6428571428571428,0.02482315410724789
F4,5,6,23,37,1.608695652173913,0.00933833657598182
F4,6,7,37,60,1.6216216216216217,0.003587632871726809
F4,7,8,60,97,1.6166666666666667,0.0013673220832282063
Double Fibonacci,0,1,2,4,2.0,0.3819660112501051
Double Fibonacci,1,2,4,6,1.5,0.1180339887498949
Double Fibonacci,2,3,6,10,1.6666666666666667,0.04863267791677184
Double Fibonacci,3,4,10,16,1.6,0.018033988749894814
Double Fibonacci,4,5,16,26,1.625,0.0069660112501050975
Double Fibonacci,5,6,26,42,1.6153846153846154,0.0026493733652794837
Double Fibonacci,6,7,42,68,1.619047619047619,0.0010136302977241662
Double Fibonacci,7,8,68,110,1.6176470588235294,0.00038692992636546464
F5,0,1,1,5,5.0,3.381966011250105
F5,1,2,5,6,1.2,0.41803398874989495
F5,2,3,6,11,1.8333333333333333,0.21529934458343836
F5,3,4,11,17,1.5454545454545454,0.07257944329534949
F5,4,5,17,28,1.6470588235294117,0.029024834779516784
F5,5,6,28,45,1.6071428571428572,0.010891131607037696
F5,6,7,45,73,1.6222222222222222,0.0041882334723273296
F8,0,1,1,8,8.0,6.381966011250105
F8,1,2,8,9,1.125,0.4930339887498949
F8,2,3,9,17,1.8888888888888888,0.27085490013899394
F8,3,4,17,26,1.5294117647058822,0.08862222404401265
F8,4,5,26,43,1.6538461538461537,0.03581216509625884
F8,5,6,43,69,1.6046511627906976,0.013382825959197264
F8,6,7,69,112,1.6231884057971016,0.00515441704720665
