family,phase,from_index,to_index,child,grandparent,ratio,abs_error_phi_squared
Fibonacci,A,0,2,1,3,3.0,0.3819660112501051
Fibonacci,B,1,3,2,5,2.5,0.1180339887498949
Fibonacci,A,2,4,3,8,2.6666666666666665,0.048632677916771616
Fibonacci,B,3,5,5,13,2.6,0.018033988749894814
Fibonacci,A,4,6,8,21,2.625,0.0069660112501050975
Fibonacci,B,5,7,13,34,2.6153846153846154,0.0026493733652794837
Fibonacci,A,6,8,21,55,2.619047619047619,0.0010136302977241662
Fibonacci,B,7,9,34,89,2.6176470588235294,0.00038692992636546464
Fibonacci,A,8,10,55,144,2.618181818181818,0.00014782943192326314
Lucas,A,0,2,1,4,4.0,1.381966011250105
Lucas,B,1,3,3,7,2.3333333333333335,0.2847006554165614
Lucas,A,2,4,4,11,2.75,0.1319660112501051
Lucas,B,3,5,7,18,2.5714285714285716,0.046605417321323284
Lucas,A,4,6,11,29,2.6363636363636362,0.01832964761374134
Lucas,B,5,7,18,47,2.611111111111111,0.006922877638783742
Lucas,A,6,8,29,76,2.6206896551724137,0.0026556664225187987
Lucas,B,7,9,47,123,2.617021276595745,0.0010127121541501083
F4,A,0,2,1,5,5.0,2.381966011250105
F4,B,1,3,4,9,2.25,0.3680339887498949
F4,A,2,4,5,14,2.8,0.18196601125010492
F4,B,3,5,9,23,2.5555555555555554,0.062478433194339544
F4,A,4,6,14,37,2.642857142857143,0.02482315410724789
F4,B,5,7,23,60,2.608695652173913,0.00933833657598182
F4,A,6,8,37,97,2.6216216216216215,0.003587632871726587
Double Fibonacci,A,0,2,2,6,3.0,0.3819660112501051
Double Fibonacci,B,1,3,4,10,2.5,0.1180339887498949
Double Fibonacci,A,2,4,6,16,2.6666666666666665,0.048632677916771616
Double Fibonacci,B,3,5,10,26,2.6,0.018033988749894814
Double Fibonacci,A,4,6,16,42,2.625,0.0069660112501050975
Double Fibonacci,B,5,7,26,68,2.6153846153846154,0.0026493733652794837
Double Fibonacci,A,6,8,42,110,2.619047619047619,0.0010136302977241662
F5,A,0,2,1,6,6.0,3.381966011250105
F5,B,1,3,5,11,2.2,0.4180339887498947
F5,A,2,4,6,17,2.8333333333333335,0.21529934458343858
F5,B,3,5,11,28,2.5454545454545454,0.07257944329534949
F5,A,4,6,17,45,2.6470588235294117,0.029024834779516784
F5,B,5,7,28,73,2.607142857142857,0.010891131607037696
F8,A,0,2,1,9,9.0,6.381966011250105
F8,B,1,3,8,17,2.125,0.4930339887498949
F8,A,2,4,9,26,2.888888888888889,0.27085490013899394
F8,B,3,5,17,43,2.5294117647058822,0.08862222404401265
F8,A,4,6,26,69,2.6538461538461537,0.03581216509625884
F8,B,5,7,43,112,2.604651162790698,0.013382825959197042
