time (s)	frame	L(t) (um)
0	15	0
0.2	16	2.266
0.4	17	3.569
0.6	18	5.434
0.8	19	6.876
1	20	8.648
1.2	21	10.105
1.4	22	11.135
1.6	23	12.577
1.8	24	14.077
2	25	15.127
2.2	26	16.569
2.4	27	18.011
2.6	28	19.247
2.8	29	20.071
3	30	21.719
3.2	31	22.749
3.4	32	23.985
3.6	33	24.603
3.8	34	26.045
4	35	27.281
4.2	36	28.024
4.4	37	29.672
4.6	38	30.925
4.8	39	31.774
5	40	32.598
5.2	41	34.668
5.4	42	35.921
5.6	43	36.745
5.8	44	37.594
6	45	38.624
6.2	46	39.654
6.4	47	41.096
6.6	48	42.205
6.8	49	44.059
7	50	44.471
7.2	51	45.707
7.4	52	46.757
7.6	53	47.993
7.8	54	49.229
8	55	50.053
8.2	56	50.902
8.4	57	52.155
8.6	58	53.854
8.8	59	54.437
9	60	54.437
9.2	61	55.673
9.4	62	57.173
9.6	63	58.409
9.8	64	59.866
10	65	60.916
10.2	66	61.946
10.4	67	63.249
10.6	68	63.867
10.8	69	65.12
11	70	65.738
11.2	71	67.399
11.4	72	68.223
11.6	73	69.047
11.8	74	70.283
12	75	71.107
12.2	76	72.343
12.4	77	73.373
12.6	78	74.403
12.8	79	75.252
13	80	76.173
13.2	81	77.409
13.4	82	79.057
13.6	83	80.087
13.8	84	81.34
14	85	81.958
14.2	86	82.782
14.4	87	83.606
14.6	88	84.859
14.8	89	86.359
15	90	87.208
15.2	91	88.129
15.4	92	89.05
15.6	93	89.668
15.8	94	90.904
16	95	91.728
16.2	96	92.552
16.4	97	93.602
16.6	98	94.451
16.8	99	95.481
17	100	96.511
17.2	101	97.335
17.4	102	98.571
17.6	103	99.395
17.8	104	100.013
18	105	101.249
18.2	106	102.073
18.4	107	102.691
18.6	108	103.741
18.8	109	104.994
19	110	105.612
19.2	111	106.662
19.4	112	107.486
19.6	113	107.898
