time (s)	frame	L(t) (um)
0	67	83.558
0.2	68	83.146
0.4	69	82.322
0.6	70	81.739
0.8	71	81.327
1	72	81.327
1.2	73	81.121
1.4	74	80.915
1.6	75	80.709
1.8	76	80.503
2	77	80.503
2.2	78	80.503
2.4	79	80.042
2.6	80	79.836
2.8	81	79.545
3	82	79.133
3.2	83	79.133
3.4	84	78.721
3.6	85	77.978
3.8	86	77.978
4	87	77.566
4.2	88	77.105
4.4	89	76.814
4.6	90	76.608
4.8	91	76.025
5	92	75.613
5.2	93	75.201
5.4	94	74.74
5.6	95	74.534
5.8	96	74.328
6	97	74.328
6.2	98	74.328
6.4	99	74.328
6.6	100	73.916
6.8	101	73.71
7	102	73.504
7.2	103	73.504
7.4	104	73.298
7.6	105	73.007
7.8	106	72.801
8	107	72.595
8.2	108	72.595
8.4	109	72.595
8.6	110	72.595
8.8	111	72.389
9	112	72.098
9.2	113	71.515
9.4	114	71.103
9.6	115	70.485
9.8	116	69.661
10	117	69.37
10.2	118	68.752
10.4	119	68.752
10.6	120	68.546
10.8	121	68.134
11	122	67.551
11.2	123	67.551
11.4	124	67.551
11.6	125	67.345
11.8	126	67.345
12	127	66.933
12.2	128	66.933
12.4	129	66.727
12.6	130	66.521
12.8	131	66.315
13	132	65.697
13.2	133	65.285
13.4	134	64.873
13.6	135	64.873
13.8	136	64.873
14	137	64.873
14.2	138	64.412
14.4	139	64.412
14.6	140	64
14.8	141	64
15	142	63.382
15.2	143	63.382
15.4	144	62.97
15.6	145	62.509
15.8	146	62.303
16	147	62.303
16.2	148	61.842
16.4	149	61.551
16.6	150	61.345
16.8	151	61.054
17	152	60.642
17.2	153	60.436
17.4	154	60.436
17.6	155	60.436
17.8	156	60.23
18	157	60.23
18.2	158	60.024
18.4	159	59.818
18.6	160	59.357
18.8	161	59.357
19	162	59.151
19.2	163	58.739
19.4	164	58.739
19.6	165	58.533
19.8	166	58.327
20	167	57.709
20.2	168	57.058
20.4	169	56.646
20.6	170	56.646
20.8	171	56.355
21	172	56.149
21.2	173	55.688
21.4	174	55.688
21.6	175	55.276
21.8	176	55.07
22	177	54.864
22.2	178	54.213
22.4	179	54.213
22.6	180	53.922
22.8	181	53.716
23	182	53.51
23.2	183	53.51
23.4	184	53.304
23.6	185	53.098
23.8	186	52.686
24	187	52.686
24.2	188	52.48
24.4	189	52.189
24.6	190	51.983
24.8	191	51.983
25	192	51.522
25.2	193	51.316
25.4	194	51.11
25.6	195	50.492
25.8	196	50.08
26	197	49.874
26.2	198	49.131
26.4	199	48.925
26.6	200	48.513
26.8	201	48.101
27	202	47.895
27.2	203	47.895
27.4	204	47.689
27.6	205	47.483
27.8	206	47.277
28	207	47.277
28.2	208	47.277
28.4	209	47.071
28.6	210	46.61
28.8	211	46.198
29	212	46.198
29.2	213	45.547
29.4	214	45.256
29.6	215	44.844
29.8	216	44.844
30	217	44.261
30.2	218	43.849
30.4	219	43.849
30.6	220	43.437
30.8	221	43.146
31	222	42.94
31.2	223	42.649
31.4	224	42.649
31.6	225	42.443
31.8	226	42.031
32	227	41.825
32.2	228	41.413
32.4	229	41.001
32.6	230	40.589
32.8	231	40.383
33	232	40.383
33.2	233	40.383
33.4	234	40.383
33.6	235	40.383
33.8	236	40.383
34	237	39.971
34.2	238	39.51
34.4	239	39.304
34.6	240	38.892
34.8	241	38.892
35	242	38.686
35.2	243	38.225
35.4	244	37.934
35.6	245	37.728
35.8	246	37.11
36	247	36.904
36.2	248	36.904
36.4	249	36.698
36.6	250	35.874
36.8	251	35.462
37	252	34.719
37.2	253	34.719
37.4	254	34.513
37.6	255	34.307
37.8	256	34.101
38	257	33.358
38.2	258	32.946
38.4	259	32.946
38.6	260	31.916
38.8	261	31.916
39	262	31.504
39.2	263	31.504
39.4	264	31.043
39.6	265	30.631
39.8	266	30.631
40	267	30.17
40.2	268	30.17
40.4	269	29.758
40.6	270	29.552
40.8	271	29.091
41	272	28.679
41.2	273	27.031
41.4	274	26.448
41.6	275	26.036
41.8	276	25.385
42	277	24.924
42.2	278	24.512
42.4	279	23.861
42.6	280	22.558
42.8	281	21.975
43	282	21.563
43.2	283	21.357
43.4	284	21.357
43.6	285	21.066
43.8	286	20.605
44	287	20.144
44.2	288	20.144
44.4	289	19.32
44.6	290	18.908
44.8	291	18.447
45	292	18.035
45.2	293	17.829
45.4	294	17.623
45.6	295	17.162
45.8	296	16.956
46	297	16.338
46.2	298	15.877
46.4	299	15.465
46.6	300	15.465
46.8	301	15.259
47	302	14.847
47.2	303	14.847
47.4	304	14.847
47.6	305	14.435
47.8	306	13.692
48	307	13.28
48.2	308	12.868
48.4	309	12.125
48.6	310	11.713
48.8	311	11.713
49	312	11.301
49.2	313	11.301
49.4	314	11.095
49.6	315	10.174
49.8	316	9.556
50	317	8.732
50.2	318	8.271
50.4	319	8.271
50.6	320	7.688
50.8	321	7.688
51	322	7.482
51.2	323	7.07
51.4	324	6.609
51.6	325	6.148
51.8	326	5.324
52	327	5.324
52.2	328	4.706
52.4	329	3.324
52.6	330	2.912
52.8	331	2.169
53	332	1.295
53.2	333	1.295
53.4	334	1.295
53.6	335	0.883
53.8	336	0.471
54	337	0.265
54.2	338	0.059
