time (s)	frame	distance	L(t) (um)
0	86	0.651	102.789
0.2	87	0.412	102.377
0.4	88	0	102.377
0.6	89	0.412	101.965
0.8	90	0.651	101.314
1	91	0.743	100.571
1.2	92	0.412	100.159
1.4	93	0	100.159
1.6	94	0.412	99.747
1.8	95	0	99.747
2	96	0.206	99.541
2.2	97	0	99.541
2.4	98	0.412	99.129
2.6	99	0.743	98.386
2.8	100	0.412	97.974
3	101	0.412	97.562
3.2	102	0.206	97.356
3.4	103	0.291	97.065
3.6	104	0.461	96.604
3.8	105	0.291	96.313
4	106	0.206	96.107
4.2	107	0	96.107
4.4	108	0.206	95.901
4.6	109	0.291	95.61
4.8	110	0.412	95.198
5	111	0	95.198
5.2	112	0	95.198
5.4	113	0	95.198
5.6	114	0.743	94.455
5.8	115	0	94.455
6	116	0	94.455
6.2	117	0.206	94.249
6.4	118	0	94.249
6.6	119	0	94.249
6.8	120	0	94.249
7	121	0	94.249
7.2	122	0.206	94.043
7.4	123	0.651	93.392
7.6	124	0.291	93.101
7.8	125	0.206	92.895
8	126	0	92.895
8.2	127	0.206	92.689
8.4	128	0	92.689
8.6	129	0	92.689
8.8	130	0	92.689
9	131	0.291	92.398
9.2	132	0.412	91.986
9.4	133	0.412	91.574
9.6	134	0.206	91.368
9.8	135	0.206	91.162
10	136	0.291	90.871
10.2	137	0	90.871
10.4	138	0.206	90.665
10.6	139	0.412	90.253
10.8	140	0.206	90.047
11	141	0.206	89.841
11.2	142	0	89.841
11.4	143	0.206	89.635
11.6	144	0	89.635
11.8	145	0	89.635
12	146	0	89.635
12.2	147	0.206	89.429
12.4	148	0.206	89.223
12.6	149	0	89.223
12.8	150	0.461	88.762
13	151	0.206	88.556
13.2	152	0	88.556
13.4	153	0.618	87.938
13.6	154	0.206	87.732
13.8	155	0.412	87.32
14	156	0	87.32
14.2	157	0	87.32
14.4	158	0.461	86.859
14.6	159	0.206	86.653
14.8	160	0.206	86.447
15	161	0	86.447
15.2	162	0.206	86.241
15.4	163	0.412	85.829
15.6	164	0.206	85.623
15.8	165	0	85.623
16	166	0	85.623
16.2	167	0	85.623
16.4	168	0	85.623
16.6	169	0.618	85.005
16.8	170	0.206	84.799
17	171	0	84.799
17.2	172	0.206	84.593
17.4	173	0.291	84.302
17.6	174	0	84.302
17.8	175	0.412	83.89
18	176	0	83.89
18.2	177	0	83.89
18.4	178	0	83.89
18.6	179	0.412	83.478
18.8	180	0	83.478
19	181	0.412	83.066
19.2	182	0.412	82.654
19.4	183	0.618	82.036
19.6	184	0.412	81.624
19.8	185	0	81.624
20	186	0.206	81.418
20.2	187	0	81.418
20.4	188	0	81.418
20.6	189	0	81.418
20.8	190	0.651	80.767
21	191	0.291	80.476
21.2	192	0.412	80.064
21.4	193	0	80.064
21.6	194	0.206	79.858
21.8	195	0	79.858
22	196	0.206	79.652
22.2	197	0.206	79.446
22.4	198	0.412	79.034
22.6	199	0.651	78.383
22.8	200	0.461	77.922
23	201	0	77.922
23.2	202	0	77.922
23.4	203	0	77.922
23.6	204	0	77.922
23.8	205	0	77.922
24	206	0.461	77.461
24.2	207	0.206	77.255
24.4	208	0.206	77.049
24.6	209	0.206	76.843
24.8	210	0	76.843
25	211	0.618	76.225
25.2	212	0.412	75.813
25.4	213	0.206	75.607
25.6	214	0.206	75.401
25.8	215	0.206	75.195
26	216	0.824	74.371
26.2	217	0	74.371
26.4	218	0	74.371
26.6	219	0.206	74.165
26.8	220	0	74.165
27	221	0.412	73.753
27.2	222	0.206	73.547
27.4	223	0.206	73.341
27.6	224	0	73.341
27.8	225	0	73.341
28	226	0.412	72.929
28.2	227	0.412	72.517
28.4	228	0	72.517
28.6	229	0	72.517
28.8	230	0	72.517
29	231	0.412	72.105
29.2	232	0.461	71.644
29.4	233	0	71.644
29.6	234	0	71.644
29.8	235	0.206	71.438
30	236	0.412	71.026
30.2	237	0.618	70.408
30.4	238	0	70.408
30.6	239	0.206	70.202
30.8	240	0.206	69.996
31	241	0.412	69.584
31.2	242	0.412	69.172
31.4	243	0	69.172
31.6	244	0	69.172
31.8	245	0.206	68.966
32	246	0.206	68.76
32.2	247	0.618	68.142
32.4	248	0	68.142
32.6	249	0.412	67.73
32.8	250	0.206	67.524
33	251	0	67.524
33.2	252	0.412	67.112
33.4	253	0	67.112
33.6	254	0.412	66.7
33.8	255	0.412	66.288
34	256	0	66.288
34.2	257	0.206	66.082
34.4	258	0.206	65.876
34.6	259	0	65.876
34.8	260	0.206	65.67
35	261	0	65.67
35.2	262	0.206	65.464
35.4	263	0.651	64.813
35.6	264	0	64.813
35.8	265	0.412	64.401
36	266	0.206	64.195
36.2	267	0.206	63.989
36.4	268	0	63.989
36.6	269	0.412	63.577
36.8	270	0	63.577
37	271	0.206	63.371
37.2	272	0.291	63.08
37.4	273	0.824	62.256
37.6	274	0.291	61.965
37.8	275	0	61.965
38	276	0.412	61.553
38.2	277	0.206	61.347
38.4	278	0.618	60.729
38.6	279	0.206	60.523
38.8	280	0.206	60.317
39	281	0.206	60.111
39.2	282	0.461	59.65
39.4	283	0.206	59.444
39.6	284	0.206	59.238
39.8	285	0.206	59.032
40	286	0.206	58.826
40.2	287	0.412	58.414
40.4	288	0.461	57.953
40.6	289	0.849	57.104
40.8	290	0.461	56.643
41	291	0.651	55.992
41.2	292	1.03	54.962
41.4	293	0	54.962
41.6	294	0.412	54.55
41.8	295	0.412	54.138
42	296	0	54.138
42.2	297	0	54.138
42.4	298	0.291	53.847
42.6	299	0.206	53.641
42.8	300	0.291	53.35
43	301	0.206	53.144
43.2	302	0.412	52.732
43.4	303	0.412	52.32
43.6	304	0.412	51.908
43.8	305	0	51.908
44	306	0	51.908
44.2	307	0.412	51.496
44.4	308	0.412	51.084
44.6	309	0.206	50.878
44.8	310	0	50.878
45	311	0.206	50.672
45.2	312	0	50.672
45.4	313	0.618	50.054
45.6	314	0.412	49.642
45.8	315	0.206	49.436
