time (s)	frame	L(t) (um)
0	15	0
0.2	16	6.031
0.4	17	8.779
0.6	18	13.316
0.8	19	15.17
1	20	18.466
1.2	21	20.938
1.4	22	24.136
1.6	23	26.237
1.8	24	29.945
2	25	32.623
2.2	26	35.301
2.4	27	37.807
2.6	28	40.698
2.8	29	43.384
3	30	46.094
3.2	31	48.985
3.4	32	51.671
3.6	33	54.177
3.8	34	57.473
4	35	59.776
4.2	36	62.248
4.4	37	64.308
4.6	38	67.192
4.8	39	69.252
5	40	72.136
5.2	41	75.692
5.4	42	76.541
5.6	43	80.46
5.8	44	82.932
6	45	84.992
6.2	46	88.345
6.4	47	90.415
6.6	48	93.021
6.8	49	95.699
7	50	97.553
7.2	51	100.231
7.4	52	103.382
7.6	53	105.247
7.8	54	107.348
8	55	109.449
8.2	56	112.333
8.4	57	114.484
8.6	58	117.032
8.8	59	119.916
9	60	121.986
9.2	61	124.046
9.4	62	126.518
9.6	63	127.754
9.8	64	128.99
10	65	130.155
