time (s)	frame	L(t) (um)
0	11	0
1	12	4.809
2	13	7.158
3	14	10.537
4	15	11.856
5	16	14.494
6	17	16.242
7	18	18.363
8	19	20.402
9	20	22.301
10	21	24.632
11	22	25.797
12	23	27.826
13	24	30.054
14	25	30.797
15	26	32.696
16	27	34.015
17	28	36.243
18	29	37.625
19	30	38.655
20	31	40.037
21	32	42.439
22	33	44.138
23	34	45.91
24	35	47.519
25	36	49.291
26	37	50.456
27	38	52.204
28	39	53.976
29	40	55.433
30	41	56.89
31	42	58.662
32	43	59.692
33	44	60.857
34	45	62.022
35	46	62.896
36	47	64.061
37	48	65.38
38	49	66.545
39	50	67.006
