time (s)	frame	distance (um)	L(t) (um)
0	28	0	0
0.2	29	0.291	0.291
0.4	30	4.532	4.823
0.6	31	3.09	7.913
0.8	32	2.891	10.804
1	33	2.949	13.753
1.2	34	2.266	16.019
1.4	35	2.678	18.697
1.6	36	2.151	20.848
1.8	37	1.442	22.29
2	38	1.442	23.732
2.2	39	2.481	26.213
2.4	40	2.07	28.283
2.6	41	2.266	30.549
2.8	42	2.06	32.609
3	43	1.03	33.639
3.2	44	1.865	35.504
3.4	45	2.481	37.985
3.6	46	1.854	39.839
3.8	47	1.854	41.693
4	48	1.236	42.929
4.2	49	2.06	44.989
4.4	50	2.481	47.47
4.6	51	1.236	48.706
4.8	52	1.854	50.56
5	53	1.854	52.414
5.2	54	0.618	53.032
5.4	55	1.854	54.886
5.6	56	2.481	57.367
5.8	57	1.442	58.809
6	58	1.854	60.663
6.2	59	2.06	62.723
6.4	60	1.442	64.165
6.6	61	2.266	66.431
6.8	62	1.648	68.079
7	63	1.648	69.727
7.2	64	1.648	71.375
7.4	65	2.275	73.65
7.6	66	1.442	75.092
7.8	67	0.824	75.916
8	68	2.275	78.191
8.2	69	1.569	79.76
8.4	70	2.101	81.861
8.6	71	1.648	83.509
8.8	72	1.648	85.157
9	73	0.824	85.981
9.2	74	2.06	88.041
9.4	75	2.275	90.316
9.6	76	1.569	91.885
9.8	77	1.661	93.546
10	78	1.661	95.207
10.2	79	1.661	96.868
10.4	80	1.03	97.898
10.6	81	1.865	99.763
10.8	82	1.253	101.016
11	83	1.03	102.046
11.2	84	0.651	102.697
11.4	85	0.743	103.44
