event_id,video,split,frame,u_event,direct_handover_frame,step_scale,step_log_scale,step_angle_rad,step_turn_fraction,cumulative_log_scale,cumulative_angle_rad,x_radial_ara,y_angular_ara,mixing_angle_deg,anisotropy_log_ratio,inlier_fraction,valid_vectors
E1,Video_S2.mp4,development,1,0.005050505050505051,198,0.999920525774203,-7.947738404063279e-05,-0.00032657221476820714,-5.197558225682823e-05,-7.947738404063279e-05,-0.00032657221476820714,0.9999602613080006,0.9998960488354863,69.07902870196219,0.0007087336275328467,0.9996134518747584,2587
E1,Video_S2.mp4,development,2,0.010101010101010102,198,0.999999206179494,-7.938208210710775e-07,-3.243230128440288e-06,-5.161761065258344e-07,-8.027120486170387e-05,-0.0003298154448966474,0.9999598643975908,0.9998950164832733,69.07795236356723,9.681295663762412e-06,1.0,2551
E1,Video_S2.mp4,development,3,0.015151515151515152,198,1.00000102853863,1.0285381010979911e-06,3.51296775001637e-06,5.59106182337519e-07,-7.924266676060589e-05,-0.00032630247714663106,0.9999603786666404,0.999896134695638,69.11972671177095,1.041339296365708e-05,1.0,2562
E1,Video_S2.mp4,development,4,0.020202020202020204,198,1.000060475775734,6.0473947148090096e-05,0.00017850524075545672,2.840999143403979e-05,-1.876871961251579e-05,-0.00014779723639117434,0.9999906156401941,0.9999529546785061,78.71900046825174,0.0002970760747358668,1.0,2551
E1,Video_S2.mp4,development,5,0.025252525252525252,198,1.0000013918871455,1.3918861768669346e-06,-4.774009038936907e-06,-7.598071369121974e-07,-1.7376833435648855e-05,-0.00015257124543011124,0.9999913115832824,0.9999514350642322,79.85691424002772,6.920167605382318e-06,1.0,2552
E1,Video_S2.mp4,development,6,0.030303030303030304,198,0.9999976945380272,-2.3054646303551313e-06,1.3105194022722943e-06,2.085756408894717e-07,-1.9682298066003986e-05,-0.00015126072602783894,0.9999901588509672,0.999951852215514,78.44816352501152,6.278733921946514e-06,1.0,2550
E1,Video_S2.mp4,development,7,0.03535353535353535,198,0.9999718782030769,-2.8122192348275148e-05,0.00011299287613868576,1.7983374771642113e-05,-4.780449041427914e-05,-3.826784988915317e-05,0.9999760977547975,0.9999878189650573,27.004248756998866,0.000240811157467386,1.0,2550
E1,Video_S2.mp4,development,8,0.04040404040404041,198,1.0000000274258078,2.742580747089388e-08,1.9176152937144816e-06,3.0519795294327647e-07,-4.7777064606808246e-05,-3.635023459543869e-05,0.9999761114677012,0.9999884293609632,25.84367109953123,7.4172516736415915e-06,1.0,2591
E1,Video_S2.mp4,development,9,0.045454545454545456,198,1.0000006574896012,6.574893850617348e-07,-2.2114967024797345e-06,-3.5197063183107634e-07,-4.711957522174651e-05,-3.856173129791843e-05,0.9999764402123934,0.9999877254196995,27.51938168478108,9.143857017817258e-06,1.0,2589
E1,Video_S2.mp4,development,10,0.050505050505050504,198,1.0000771446743617,7.714169886434359e-05,-0.00012235445073057477,-1.947331564306474e-05,3.002212364259708e-05,-0.0001609161820284932,1.0000150110618202,0.9999487787884134,73.6660708142049,0.00038900250660948857,1.0,2591
