Plante	Silique	Angle1
1	1	125
1	2	140
1	3	95
1	4	115
1	5	47
1	6	111
1	7	102
1	8	122
1	9	25
1	10	111
1	11	100
1	12	94
1	13	115
1	14	123
1	15	107
1	16	131
1	17	105
1	18	107
1	19	108
1	20	99
1	21	123
1	22	117
1	23	89
1	24	85
1	25	136
1	26	121
1	27	127
1	28	122
1	29	268
1	30	215
1	31	277
1	32	86
1	33	92
1	34	120
1	35	130
1	36	130
1	37	155
2	1	132
2	2	150
2	3	140
2	4	110
2	5	70
2	6	120
2	7	150
2	8	93
2	9	97
2	10	105
2	11	135
2	12	100
2	13	97
2	14	90
2	15	103
2	16	117
2	17	96
2	18	87
2	19	87
2	20	106
2	21	107
2	22	105
2	23	105
2	24	110
2	25	95
2	26	122
2	27	138
2	28	85
2	29	90
2	30	127
2	31	123
2	32	115
2	33	110
2	34	120
2	35	140
3	1	207
3	2	85
3	3	225
3	4	280
3	5	140
3	6	185
3	7	203
3	8	137
3	9	205
3	10	145
3	11	120
3	12	175
3	13	120
3	14	125
3	15	295
3	16	35
3	17	190
3	18	155
3	19	115
3	20	240
3	21	240
3	22	28
3	23	129
3	24	85
3	25	128
3	26	145
3	27	134
3	28	244
3	29	122
3	30	185
3	31	190
3	32	155
4	1	138
4	2	152
4	3	158
4	4	135
4	5	212
4	6	125
4	7	203
4	8	177
4	9	150
4	10	160
4	11	145
4	12	150
4	13	160
4	14	150
4	15	155
4	16	155
4	17	138
4	18	172
4	19	152
4	20	141
4	21	165
4	22	147
4	23	160
4	24	190
4	25	170
4	26	195
4	27	155
4	28	170
4	29	295
4	30	215
4	31	350
4	32	167
4	33	133
4	34	195
4	35	135
4	36	180
5	1	108
5	2	112
5	3	135
5	4	133
5	5	67
5	6	100
5	7	120
5	8	170
5	9	97
5	10	113
5	11	132
5	12	108
5	13	115
5	14	140
5	15	242
5	16	223
5	17	220
5	18	110
5	19	120
5	20	95
5	21	125
5	22	95
5	23	100
5	24	117
5	25	118
5	26	190
5	27	147
5	28	103
5	29	55
5	30	105
5	31	270
5	32	200
5	33	270
5	34	97
5	35	123
5	36	150
5	37	120
5	38	100
5	39	110
6	1	145
6	2	80
6	3	115
6	4	70
6	5	85
6	6	77
6	7	140
6	8	98
6	9	110
6	10	115
6	11	110
6	12	160
6	13	70
6	14	120
6	15	105
6	16	75
6	17	115
6	18	110
6	19	210
6	20	230
6	21	185
6	22	160
6	23	115
6	24	253
6	25	197
6	26	245
6	27	144
6	28	119
6	29	154
6	30	58
6	31	150
6	32	63
6	33	82
6	34	100
6	35	135
6	36	100
7	1	210
7	2	205
7	3	210
7	4	160
7	5	170
7	6	215
7	7	187
7	8	148
7	9	173
7	10	169
7	11	163
7	12	190
7	13	150
7	14	160
7	15	150
7	16	129
7	17	136
7	18	150
7	19	176
7	20	146
7	21	141
7	22	144
7	23	151
7	24	127
7	25	130
7	26	190
7	27	150
7	28	153
7	29	129
7	30	143
7	31	203
7	32	132
7	33	100
7	34	175
7	35	80
8	1	115
8	2	125
8	3	110
8	4	65
8	5	120
8	6	85
8	7	130
8	8	107
8	9	120
8	10	68
8	11	83
8	12	132
8	13	105
8	14	65
8	15	97
8	16	133
8	17	70
8	18	117
8	19	70
8	20	78
8	21	142
8	22	93
8	23	90
8	24	106
8	25	154
8	26	105
8	27	76
8	28	69
8	29	155
8	30	120
9	1	140
9	2	105
9	3	70
9	4	120
9	5	87
9	6	145
9	7	88
9	8	123
9	9	110
9	10	85
9	11	107
9	12	70
9	13	103
9	14	127
9	15	135
9	16	100
9	17	125
9	18	110
9	19	107
9	20	83
9	21	115
9	22	80
9	23	100
9	24	130
9	25	90
9	26	135
9	27	85
9	28	86
9	29	131
9	30	98
9	31	307
9	32	273
9	33	187
9	34	118
9	35	90
9	36	90
10	1	150
10	2	143
10	3	172
10	4	150
10	5	217
10	6	154
10	7	189
10	8	155
10	9	170
10	10	165
10	11	160
10	12	178
10	13	172
10	14	165
10	15	160
10	16	170
10	17	150
10	18	135
10	19	149
10	20	143
10	21	128
10	22	150
10	23	310
10	24	230
10	25	273
10	26	187
10	27	139
10	28	131
10	29	150
10	30	155
10	31	165
10	32	145
10	33	125
10	34	120
10	35	123
10	36	127
10	37	190
10	38	150
10	39	345
11	1	260
11	2	215
11	3	220
11	4	130
11	5	113
11	6	102
11	7	126
11	8	119
11	9	85
11	10	105
11	11	112
11	12	98
11	13	130
11	14	110
11	15	115
11	16	98
11	17	122
11	18	255
11	19	227
11	20	253
11	21	103
11	22	137
11	23	110
11	24	130
11	25	91
11	26	132
11	27	102
11	28	110
11	29	148
11	30	102
11	31	118
11	32	115
11	33	27
11	34	155
11	35	100
11	36	110
11	37	107
11	38	130
12	1	235
12	2	180
12	3	187
12	4	213
12	5	195
12	6	175
12	7	245
12	8	185
12	9	175
12	10	212
12	11	183
12	12	215
12	13	200
12	14	200
12	15	195
12	16	170
12	17	190
12	18	227
12	19	233
12	20	165
12	21	240
12	22	180
12	23	85
12	24	130
12	25	105
12	26	188
12	27	202
12	28	188
12	29	212
12	30	225
12	31	180
12	32	195
12	33	187
12	34	218
12	35	200
12	36	250
13	1	150
13	2	105
13	3	137
13	4	81
13	5	122
13	6	127
13	7	101
13	8	79
13	9	73
13	10	137
13	11	138
13	12	95
13	13	92
13	14	91
13	15	137
13	16	100
13	17	109
13	18	131
13	19	95
13	20	101
13	21	144
13	22	96
13	23	147
13	24	112
13	25	60
13	26	110
13	27	150
13	28	125
13	29	105
14	1	175
14	2	162
14	3	171
14	4	177
14	5	162
14	6	158
14	7	160
14	8	140
14	9	195
14	10	265
14	11	235
14	12	295
14	13	170
14	14	132
14	15	173
14	16	143
14	17	132
14	18	190
14	19	155
14	20	143
14	21	160
14	22	144
14	23	137
14	24	156
14	25	165
14	26	93
14	27	150
14	28	117
14	29	180
14	30	190
14	31	95
14	32	20
14	33	115
14	34	315
14	35	155
15	1	157
15	2	173
15	3	140
15	4	135
15	5	175
15	6	154
15	7	151
15	8	212
15	9	138
15	10	175
15	11	175
15	12	155
15	13	150
15	14	190
15	15	140
15	16	128
15	17	189
15	18	133
15	19	157
15	20	120
15	21	153
15	22	170
15	23	130
15	24	190
15	25	160
15	26	132
15	27	168
15	28	143
15	29	162
15	30	163
15	31	170
15	32	157
15	33	175
15	34	143
15	35	134
15	36	157
15	37	176
15	38	145
15	39	135
16	1	125
16	2	140
16	3	100
16	4	95
16	5	107
16	6	113
16	7	147
16	8	133
16	9	147
16	10	88
16	11	112
16	12	95
16	13	115
16	14	111
16	15	107
16	16	100
16	17	95
16	18	110
16	19	90
16	20	90
16	21	120
16	22	125
16	23	90
16	24	105
16	25	120
16	26	100
16	27	125
16	28	110
16	29	95
16	30	95
16	31	120
16	32	100
16	33	90
16	34	110
16	35	145
17	1	137
17	2	103
17	3	108
17	4	107
17	5	95
17	6	90
17	7	103
17	8	152
17	9	60
17	10	77
17	11	90
17	12	96
17	13	137
17	14	120
17	15	165
17	16	152
17	17	133
17	18	100
17	19	160
17	20	145
17	21	122
17	22	148
17	23	110
17	24	100
17	25	140
17	26	125
17	27	110
17	28	73
17	29	92
17	30	150
17	31	105
17	32	125
17	33	120
17	34	102
18	1	140
18	2	100
18	3	113
18	4	84
18	5	98
18	6	110
18	7	105
18	8	92
18	9	100
18	10	53
18	11	123
18	12	92
18	13	100
18	14	115
18	15	97
18	16	113
18	17	127
18	18	103
18	19	145
18	20	110
18	21	85
18	22	107
18	23	87
18	24	97
18	25	99
18	26	95
18	27	145
18	28	40
18	29	136
19	1	133
19	2	165
19	3	210
19	4	160
19	5	154
19	6	158
19	7	161
19	8	167
19	9	142
19	10	138
19	11	178
19	12	135
19	13	142
19	14	145
19	15	145
19	16	133
19	17	137
19	18	150
19	19	155
19	20	140
19	21	155
19	22	140
19	23	143
19	24	152
19	25	140
19	26	148
19	27	109
19	28	168
19	29	150
19	30	135
19	31	180
19	32	128
19	33	197
19	34	110
19	35	155
19	36	100
19	37	170
