1	190
1	332
1	90
1	228
1	0
1	148
1	188
1	40
1	248
1	328
1	132
1	185
1	315
1	50
1	98
1	228
1	0
1	271
1	148
1	198
1	330
1	58
1	95
1	255
1	45
1	312
1	192
1	232
1	85
1	270
1	0
1	140
1	233
1	98
1	0
1	281
1	140
1	187
1	319
1	65
1	120
1	271
1	179
1	57
1	320
1	108
1	279
1	24
2	72
2	188
2	230
2	270
2	0
2	141
2	50
2	190
2	341
2	40
2	116
2	252
2	175
2	290
2	78
2	215
2	340
2	142
2	255
2	50
2	170
2	301
2	70
2	123
2	330
2	38
2	277
2	320
2	109
2	187
2	10
2	259
2	158
2	69
2	298
2	235
2	143
2	7
2	298
2	65
3	105
3	175
3	290
3	75
3	351
3	124
3	32
3	252
3	299
3	195
3	238
3	85
3	145
3	25
3	288
3	80
3	200
3	140
3	38
3	271
3	298
3	172
3	87
3	222
3	347
3	137
3	292
3	212
3	82
3	335
3	125
3	251
3	58
3	185
3	319
3	232
3	358
3	171
3	289
3	65
3	204
3	344
3	115
3	263
3	179
3	352
3	92
3	239
3	63
4	65
4	305
4	165
4	15
4	315
4	242
4	200
4	305
4	120
4	60
4	155
4	248
4	18
4	196
4	121
4	324
4	80
4	285
4	157
4	23
4	244
4	330
4	123
4	200
4	80
4	292
4	170
4	35
4	147
4	282
4	271
4	37
4	121
4	13
4	128
4	255
4	208
4	320
4	315
4	108
4	164
4	272
4	35
4	127
4	345
5	345
5	120
5	252
5	28
5	292
5	59
5	214
5	23
5	157
5	73
5	303
5	243
5	46
5	202
5	334
5	133
5	295
5	79
5	131
5	220
5	260
5	39
5	346
5	184
5	307
5	100
5	248
5	27
5	153
5	92
5	350
5	320
5	203
5	283
5	135
5	70
5	210
6	332
6	108
6	84
6	335
6	227
6	312
6	100
6	191
6	277
6	34
6	358
6	177
6	260
6	342
6	130
6	228
6	314
6	84
6	20
6	189
6	281
6	344
6	120
6	218
6	302
6	77
6	165
6	29
6	118
6	241
6	345
6	297
6	221
6	64
6	250
6	21
6	175
6	149
6	97
6	4
6	249
6	329
7	15
7	252
7	231
7	350
7	332
7	110
7	73
7	311
7	225
7	176
7	62
7	289
7	141
7	30
7	119
7	250
7	337
7	90
7	218
7	175
7	320
7	54
7	120
7	332
7	225
7	195
7	82
7	156
7	302
7	22
7	243
7	111
7	210
7	342
7	85
7	172
7	60
7	8
7	137
7	226
7	323
8	346
8	259
8	124
8	282
8	15
8	155
8	78
8	218
8	342
8	263
8	123
8	28
8	296
8	159
8	60
8	196
8	359
8	261
8	134
8	31
8	302
8	182
8	239
8	89
8	20
8	278
8	162
8	58
8	220
8	329
8	248
8	122
8	19
8	202
8	334
8	126
8	270
8	58
8	188
8	314
8	239
8	91
8	23
8	182
8	322
8	116
8	29
8	270
8	352
8	170
9	91
9	300
9	269
9	198
9	155
9	30
9	245
9	115
9	341
9	198
9	65
9	300
9	155
9	57
9	255
