Plante	Angle
1	108
1	103
1	142
1	83
1	101
1	141
1	125
1	86
1	177
1	105
1	115
1	151
1	127
1	105
1	162
1	118
1	122
1	165
1	95
1	125
1	92
1	188
1	118
1	117
1	147
1	119
1	131
1	123
1	120
1	155
1	134
1	141
1	119
1	141
1	112
1	155
1	145
2	129
2	108
2	151
2	130
2	126
2	126
2	126
2	159
2	95
2	139
2	152
2	105
2	139
2	125
2	131
2	124
2	126
2	132
2	129
2	114
2	284
2	140
2	236
2	224
2	229
2	167
2	114
2	134
2	151
2	115
2	149
2	166
2	116
3	108
3	162
3	144
3	107
3	271
3	230
3	73
3	219
3	243
3	175
3	96
3	120
3	170
3	121
3	169
3	136
3	116
3	214
3	150
4	152
4	126
4	121
4	163
4	171
4	117
4	171
4	170
4	159
4	135
4	157
4	140
4	151
4	159
4	149
4	132
4	155
4	128
4	145
4	172
4	106
4	157
4	147
4	150
4	148
4	120
4	134
4	156
4	126
4	162
4	140
4	118
4	165
4	116
4	173
4	151
4	140
4	146
5	153
5	168
5	155
5	131
5	161
5	173
5	145
5	142
5	145
5	148
5	128
5	146
5	150
5	160
5	117
5	294
5	225
5	269
5	147
5	138
5	133
5	133
5	111
5	170
5	98
5	182
5	88
5	104
5	158
5	130
5	163
5	111
5	139
5	140
5	104
5	150
5	146
5	124
5	128
5	163
5	117
5	164
5	131
5	130
5	179
5	159
6	95
6	113
6	158
6	110
6	89
6	128
6	123
6	112
6	122
6	128
6	125
6	160
6	115
6	77
6	224
6	74
6	165
6	125
6	229
6	122
6	132
6	128
6	121
6	113
6	137
6	135
6	103
6	122
6	150
7	114
7	111
7	147
7	120
7	141
7	157
7	132
7	144
7	143
7	139
7	152
7	136
7	141
7	143
7	157
7	141
7	138
7	156
7	144
7	143
7	148
7	145
7	142
7	144
7	173
7	150
7	148
7	126
7	185
7	126
7	194
7	178
7	139
7	185
7	214
8	138
8	128
8	89
8	144
8	130
8	113
8	139
8	118
8	117
8	147
8	103
8	149
8	122
8	104
8	128
8	258
8	227
8	266
8	127
8	127
8	120
8	128
8	117
8	140
8	137
8	112
8	145
8	123
8	138
8	132
8	116
8	133
8	136
8	126
8	130
8	273
8	230
8	281
8	137
8	127
8	152
8	128
8	128
8	135
8	113
8	157
8	120
8	141
8	133
8	139
8	158
8	117
8	148
8	138
8	151
9	136
9	139
9	138
9	149
9	151
9	130
9	161
9	120
9	174
9	126
9	135
9	159
9	149
9	137
9	126
9	158
9	151
9	124
9	151
9	112
9	132
9	150
9	137
9	173
9	144
9	103
9	192
9	286
9	121
9	128
9	136
9	174
9	137
9	192
9	120
9	151
9	136
9	121
9	141
9	118
10	120
10	253
10	206
10	276
10	105
10	132
10	97
10	133
10	128
10	123
10	126
10	135
10	135
10	115
10	132
10	143
10	134
10	126
10	145
10	129
10	135
10	145
10	121
10	117
10	119
10	123
10	135
10	130
10	120
10	284
10	221
10	65
10	217
10	244
10	281
10	237
10	278
10	118
10	110
10	134
10	150
11	120
11	253
11	206
11	276
11	105
11	132
11	97
11	133
11	128
11	123
11	126
11	135
11	135
11	115
11	132
11	143
11	134
11	126
11	145
11	129
11	135
11	145
11	121
11	117
11	119
11	123
11	135
11	130
11	120
11	284
11	221
11	65
12	114
12	114
12	117
12	128
12	117
12	177
12	134
12	204
12	146
12	126
12	128
12	158
12	131
12	152
12	133
12	142
12	157
12	148
12	154
12	163
12	145
12	151
12	149
12	154
12	151
12	154
12	139
12	151
12	182
12	126
12	131
12	161
12	141
12	300
12	135
12	130
12	173
12	138
12	162
12	150
13	73
13	92
13	99
13	100
13	127
13	128
13	126
13	124
13	110
13	107
13	150
13	128
13	130
13	159
13	132
13	145
13	122
13	132
13	126
13	149
13	134
13	117
13	134
13	123
13	135
13	117
13	132
13	128
13	98
13	120
13	139
13	84
13	127
14	127
14	130
14	106
14	128
14	131
14	131
14	114
14	139
14	136
14	120
14	95
14	81
14	134
14	86
14	92
14	115
14	74
14	140
14	104
14	102
14	134
14	142
14	114
14	120
14	113
14	104
14	138
14	122
15	86
15	105
15	109
15	132
15	96
15	147
15	131
15	162
15	142
15	121
15	177
15	122
15	60
15	110
15	93
15	51
15	224
15	130
15	275
15	119
15	271
15	249
15	225
15	260
15	172
15	134
15	273
16	108
16	98
16	116
16	122
16	135
16	102
16	132
16	130
16	146
16	153
16	117
16	146
16	152
16	144
16	128
16	93
16	139
16	98
16	120
16	120
16	112
16	108
16	132
16	126
16	132
16	123
16	122
16	119
17	125
17	116
17	94
17	138
17	97
17	138
17	180
17	239
17	84
17	165
17	182
17	133
17	177
17	119
17	103
17	68
17	160
17	133
17	148
17	162
17	121
17	81
17	127
17	82
17	115
17	119
17	84
17	89
17	137
17	118
17	107
17	147
17	133
17	101
17	136
18	136
18	139
18	132
18	151
18	146
18	153
18	155
18	158
18	143
18	164
18	131
18	174
18	166
18	131
18	169
18	172
18	143
18	150
18	129
18	151
18	151
18	149
18	121
18	176
18	127
18	171
18	127
18	135
18	170
18	122
18	171
18	140
18	124
18	183
18	98
18	161
18	157
18	102
18	150
18	139
18	141
18	142
18	126
19	149
19	124
19	135
19	104
19	180
19	150
19	166
19	149
19	183
19	174
19	166
19	162
19	146
19	173
19	171
19	137
19	142
19	131
19	158
20	142
20	79
20	83
20	116
20	116
20	129
20	115
20	119
20	122
20	125
20	113
20	258
20	135
20	128
20	129
20	157
20	108
20	140
20	158
20	113
20	154
20	144
20	121
20	161
20	116
20	130
20	146
20	143
20	149
20	130
20	133
20	144
20	153
20	105
20	152
21	139
21	137
21	147
21	112
21	127
21	145
21	150
21	159
21	148
21	135
21	164
21	105
21	130
21	189
21	125
21	152
21	145
21	152
21	169
21	144
21	168
21	121
21	164
21	160
21	153
21	180
21	127
21	145
21	140
21	133
21	172
22	175
22	138
22	139
22	143
22	150
22	171
22	141
22	148
22	163
22	127
22	183
22	136
22	152
22	166
22	163
22	166
22	147
22	150
22	148
22	131
22	163
22	137
22	152
22	147
22	130
22	164
22	152
22	151
22	172
22	150
22	158
22	146
22	136
22	153
22	145
22	152
22	131
23	126
23	135
23	121
23	137
23	124
23	128
23	123
23	127
23	138
23	106
23	125
23	96
23	124
23	126
23	139
23	115
23	136
23	112
23	133
23	116
23	141
23	125
23	127
23	149
23	110
23	132
23	130
23	126
23	120
23	123
23	104
23	135
23	139
23	121
23	266
23	118
23	157
23	160
23	107
24	164
24	127
24	66
24	110
24	108
24	127
24	133
24	105
24	110
24	125
24	103
24	120
24	129
24	106
24	133
24	114
24	146
24	134
24	93
24	170
24	116
24	137
24	146
24	98
24	105
24	150
24	134
24	118
24	117
24	135
24	144
24	112
25	108
25	184
25	138
25	134
25	143
25	148
25	153
25	131
25	141
25	139
25	128
25	168
25	169
25	157
25	146
25	176
25	162
25	113
25	177
25	160
25	176
25	127
25	156
25	158
25	149
25	153
25	136
25	166
25	144
25	125
25	183
25	152
25	161
25	104
25	184
25	171
25	140
25	136
26	124
26	112
26	84
26	141
26	116
26	133
26	133
26	126
26	127
26	138
26	106
26	139
26	103
26	130
26	107
26	121
26	124
26	107
26	123
26	101
26	119
26	131
26	132
26	132
26	124
26	111
26	148
26	121
26	156
26	121
26	83
26	181
26	114
26	121
26	140
26	125
26	145
