Plante	Angle
1	145
1	140
1	260
1	228
1	265
1	157
1	145
1	150
1	117
1	261
1	297
1	295
1	178
1	95
1	172
1	160
1	130
1	167
1	293
1	165
1	105
1	327
1	118
1	220
2	135
2	105
2	120
2	160
2	115
2	125
2	125
2	155
2	130
2	140
2	295
2	235
2	287
2	166
2	112
2	205
2	135
2	103
2	129
2	263
2	247
2	223
2	140
2	132
2	158
2	150
2	107
3	263
3	222
3	283
3	115
3	125
3	130
3	135
3	107
3	225
3	235
3	243
3	150
3	125
3	130
3	130
3	120
3	138
3	139
3	158
3	162
3	173
4	158
4	132
4	130
4	154
4	81
4	145
4	130
4	100
4	165
4	135
4	135
4	85
4	140
4	140
4	280
4	230
4	285
4	145
4	130
4	105
4	164
4	126
4	140
4	130
4	125
4	160
4	133
4	97
4	130
5	180
5	290
5	140
5	135
5	265
5	225
5	48
5	197
5	285
5	295
5	187
5	283
5	160
5	130
5	145
5	165
5	120
5	110
5	145
6	148
6	137
6	160
6	132
6	118
6	160
6	145
6	140
6	157
6	128
6	150
6	150
6	108
6	167
6	268
6	252
6	280
6	128
6	117
6	302
6	227
6	188
6	260
6	255
6	170
6	105
7	150
7	143
7	140
7	150
7	130
7	165
7	190
7	278
7	227
7	295
7	135
7	135
7	155
7	137
7	153
7	135
7	130
7	130
7	135
7	158
7	132
7	148
7	157
7	148
7	262
7	227
7	293
7	160
7	112
7	158
7	120
7	137
7	113
7	122
7	148
7	135
7	150
8	180
8	100
8	120
8	137
8	135
8	128
8	127
8	143
8	141
8	112
8	162
8	65
8	170
8	255
8	215
8	260
8	135
8	145
8	125
8	128
8	137
8	145
8	148
8	167
9	140
9	130
9	118
9	87
9	152
9	113
9	125
9	135
9	258
9	237
9	235
9	260
9	210
9	42
9	218
9	250
9	135
9	120
9	135
9	150
9	115
9	137
9	153
10	110
10	132
10	111
10	124
10	148
10	125
10	267
10	205
10	258
10	250
10	220
10	257
10	148
10	135
10	140
10	140
10	160
10	125
10	140
10	235
10	260
10	240
10	115
10	125
11	123
11	125
11	130
11	140
11	160
11	105
11	268
11	217
11	285
11	113
11	124
11	113
11	165
11	100
11	120
11	150
11	132
11	123
11	123
11	112
11	90
11	115
11	145
11	120
11	116
11	124
11	140
12	195
12	275
12	165
12	130
12	165
12	120
12	150
12	108
12	132
12	155
12	155
12	130
12	140
12	145
12	152
12	153
12	130
12	315
12	250
12	35
12	125
12	120
13	157
13	85
13	155
13	105
13	132
13	138
13	137
13	123
13	165
13	133
13	112
13	127
13	118
13	148
13	127
14	135
14	110
14	110
14	170
14	135
14	135
14	130
14	130
14	140
14	125
14	128
14	277
14	230
14	300
14	275
14	234
14	261
14	133
14	157
14	267
14	223
14	270
14	97
15	140
15	155
15	160
15	145
15	125
15	180
15	115
15	160
15	138
15	97
15	160
15	167
15	121
15	157
15	125
15	135
15	158
15	130
15	152
15	145
15	143
16	230
16	208
16	69
16	143
16	110
16	150
16	142
16	110
16	158
16	140
16	145
16	122
16	108
16	152
16	120
16	156
16	106
16	141
16	140
16	250
16	225
17	135
17	130
17	145
17	115
17	133
17	112
17	100
17	108
17	107
17	135
17	147
17	116
17	123
17	125
17	129
17	140
17	130
17	145
17	130
17	118
17	169
18	142
18	143
18	110
18	133
18	152
18	143
18	127
18	180
18	150
18	148
18	154
18	148
18	147
18	166
18	133
18	134
18	139
18	166
18	145
18	145
18	150
18	145
18	140
18	150
18	165
19	140
19	145
19	280
19	230
19	280
19	160
19	145
19	145
19	150
19	120
19	170
19	140
19	120
19	145
19	200
19	133
19	165
19	117
19	170
19	155
19	145
19	123
19	149
19	138
19	215
20	273
20	217
20	270
20	143
20	139
20	147
20	151
20	125
20	135
20	125
20	285
20	239
20	256
20	258
20	234
20	53
20	228
20	282
20	293
20	277
20	243
20	265
20	130
20	152
20	137
20	146
20	137
20	165
20	115
20	125
20	152
20	132
21	192
21	298
21	177
21	140
21	155
21	165
21	130
21	137
21	173
21	113
21	182
21	225
21	240
21	280
21	150
21	150
21	140
21	164
21	149
21	137
21	150
21	150
21	107
21	158
21	143
21	112
21	287
21	223
21	250
22	137
22	244
22	233
22	286
22	142
22	115
22	115
22	133
22	123
22	172
22	135
22	147
22	168
22	160
22	162
22	151
22	117
22	167
22	123
22	150
22	130
22	145
22	270
22	213
22	250
22	157
22	122
22	93
23	144
23	92
23	144
23	124
23	89
23	309
23	211
23	267
23	133
23	121
23	120
23	125
23	123
23	141
23	132
23	139
23	136
23	106
23	134
23	143
23	127
23	108
23	135
23	143
23	149
23	125
23	134
23	132
23	137
23	126
23	125
23	141
23	158
23	127
23	122
23	153
23	116
23	158
23	249
24	145
24	121
24	118
24	152
24	161
24	157
24	152
24	138
24	148
24	135
24	281
24	236
24	276
24	290
24	171
24	145
24	149
24	133
24	143
24	125
24	151
24	150
24	133
24	135
24	151
24	144
24	174
24	110
24	163
24	128
24	179
24	146
24	148
24	126
24	146
24	148
24	149
24	122
24	263
25	105
25	128
25	136
25	126
25	132
25	241
25	248
25	255
25	165
25	117
25	150
25	130
25	120
25	124
25	274
25	215
25	272
25	128
25	135
25	140
25	265
25	240
25	40
25	208
25	289
25	131
25	133
25	100
25	170
25	107
25	149
25	145
25	108
25	143
25	265
25	248
25	274
25	127
25	121
25	57
25	333
26	142
26	255
26	235
26	256
26	164
26	144
26	151
26	155
26	152
26	118
26	150
26	140
26	150
26	144
26	129
26	137
26	144
26	152
26	159
26	151
26	260
26	231
26	278
26	161
26	136
26	143
26	140
26	146
26	143
26	145
26	126
26	136
26	150
26	129
26	157
26	278
26	230
26	52
26	220
26	325
26	28
