Plante	Angle
1	134
1	140
1	136
1	146
1	136
1	137
1	134
1	144
1	160
1	119
1	155
1	146
1	144
1	141
1	162
1	125
1	177
1	123
1	153
1	145
1	142
1	158
1	132
1	143
1	155
1	148
1	155
1	119
1	144
1	170
1	122
1	151
1	150
1	104
1	159
1	165
1	157
1	155
1	125
1	150
2	154
2	124
2	150
2	135
2	114
2	147
2	118
2	133
2	143
2	127
2	150
2	129
2	133
2	150
2	98
2	127
2	142
2	132
2	137
2	90
2	155
2	130
2	104
2	132
2	102
2	132
2	135
2	234
2	214
2	252
2	155
2	106
2	107
2	144
2	117
2	114
2	154
2	117
3	150
3	128
3	127
3	148
3	147
3	130
3	284
3	230
3	291
3	150
3	132
3	143
3	136
3	143
3	143
3	152
3	151
3	132
3	149
3	142
3	167
3	145
3	157
3	118
3	289
3	226
3	289
3	144
3	133
3	159
3	148
3	154
3	148
3	146
3	129
3	162
3	125
3	128
3	153
4	127
4	130
4	139
4	138
4	135
4	137
4	119
4	136
4	133
4	117
4	150
4	159
4	140
4	112
4	101
4	202
4	99
4	169
4	109
4	148
4	115
4	146
4	139
4	152
4	139
4	143
5	135
5	140
5	132
5	140
5	161
5	134
5	134
5	269
5	229
5	261
5	132
5	153
5	120
5	150
5	142
5	143
5	137
5	147
5	281
5	217
5	292
5	155
5	143
5	147
5	137
5	313
5	215
5	294
5	167
5	149
5	287
5	223
5	312
5	151
5	150
5	146
5	155
5	186
5	144
5	128
5	141
5	140
6	133
6	145
6	127
6	132
6	145
6	132
6	145
6	131
6	144
6	137
6	141
6	139
6	141
6	136
6	295
6	208
6	302
6	161
6	289
6	280
6	311
6	213
6	311
6	139
6	150
6	174
6	138
6	169
6	136
6	134
6	173
6	162
6	145
6	163
6	139
7	150
7	124
7	133
7	121
7	139
7	119
7	145
7	121
7	148
7	123
7	115
7	141
7	128
7	129
7	136
7	97
7	143
7	103
7	127
7	120
7	101
7	124
7	128
7	105
7	102
7	113
7	130
7	115
7	83
7	105
7	127
7	122
7	109
8	135
8	139
8	131
8	134
8	138
8	138
8	141
8	114
8	139
8	135
8	146
8	130
8	132
8	137
8	143
8	135
8	135
8	136
8	123
8	152
8	118
8	140
8	124
8	137
8	113
8	121
8	129
8	134
8	109
8	138
8	108
8	127
8	109
8	125
8	113
8	113
8	104
8	105
8	135
9	128
9	139
9	120
9	144
9	136
9	115
9	142
9	131
9	146
9	140
9	146
9	269
9	223
9	271
9	121
9	136
9	153
9	133
9	137
9	131
9	135
9	141
9	128
9	125
9	147
9	110
9	149
9	136
9	96
9	131
9	120
9	258
9	227
9	275
9	130
9	108
9	137
9	123
9	116
10	149
10	144
10	121
10	149
10	136
10	141
10	137
10	128
10	51
10	225
10	233
10	61
10	112
10	145
10	144
10	133
10	151
10	146
10	135
10	167
10	144
10	150
10	150
10	152
10	155
10	130
10	173
10	136
10	135
10	154
10	152
10	140
10	280
10	230
10	290
10	119
11	160
11	122
11	126
11	150
11	128
11	136
11	126
11	133
11	166
11	101
11	125
11	155
11	123
11	147
11	131
11	125
11	162
11	118
11	133
11	140
11	114
11	149
11	270
11	224
11	273
11	124
11	115
11	134
11	120
11	104
11	137
11	132
11	119
11	117
11	129
11	88
11	144
11	109
11	149
12	130
12	142
12	130
12	136
12	164
12	118
12	138
12	151
12	123
12	169
12	125
12	128
12	158
12	129
12	153
12	142
12	144
12	130
12	152
12	147
12	149
12	146
12	166
12	125
12	140
12	152
12	147
12	146
12	160
12	136
12	158
12	136
12	142
12	145
12	147
12	159
12	173
12	137
12	131
13	133
13	133
13	141
13	136
13	139
13	144
13	264
13	237
13	62
13	213
13	264
13	149
13	129
13	139
13	144
13	120
13	287
13	246
13	252
13	148
13	138
13	128
13	159
13	138
13	156
13	129
13	144
13	169
13	126
13	162
13	132
13	144
13	152
13	156
13	127
13	147
13	161
13	128
13	97
14	141
14	151
14	127
14	142
14	143
14	148
14	125
14	141
14	125
14	145
14	148
14	134
14	144
14	138
14	140
14	128
14	145
14	161
14	139
14	133
14	135
14	157
14	140
14	157
14	124
14	142
14	144
14	150
14	134
14	142
15	153
15	127
15	143
15	131
15	131
15	154
15	269
15	221
15	277
15	120
15	124
15	147
15	114
15	146
15	142
15	253
15	233
15	255
15	131
15	122
15	284
15	211
15	275
15	128
15	118
15	133
15	133
15	113
15	123
15	125
15	118
15	131
15	140
15	120
15	140
16	158
16	107
16	153
16	131
16	287
16	222
16	271
16	277
16	221
16	61
16	203
16	282
16	290
16	207
16	280
16	138
16	138
16	150
16	137
16	125
16	143
16	144
16	143
16	150
16	120
16	155
16	133
16	163
16	146
16	123
16	151
16	150
16	132
16	162
16	118
16	165
16	175
16	104
16	152
17	233
17	171
17	227
17	283
17	139
17	121
17	310
17	219
17	268
17	278
17	240
17	60
17	214
17	271
17	160
17	135
17	145
17	160
17	140
17	140
17	139
17	298
17	229
17	274
17	161
17	124
17	290
17	207
17	313
17	143
17	136
