Plant	Angle Brut
1	65
1	232
1	352
1	143
1	285
1	60
1	198
1	358
1	128
1	265
1	67
1	195
1	350
1	157
1	285
1	75
1	205
1	335
1	105
1	252
1	23
1	180
1	317
1	125
1	258
1	185
1	35
1	330
1	95
1	255
1	27
1	153
1	308
1	70
2	185
2	332
2	177
2	355
2	140
2	290
2	80
2	215
2	358
2	160
2	313
2	103
2	256
2	68
2	213
2	5
2	139
2	285
2	85
2	243
2	20
2	178
2	313
2	245
2	110
2	70
2	212
2	105
2	335
2	267
2	40
2	202
2	345
2	290
2	133
2	223
2	65
2	30
2	203
2	330
3	215
3	75
3	305
3	215
3	95
3	330
3	215
3	70
3	310
3	178
3	55
3	280
3	162
3	25
3	262
3	160
3	60
3	297
3	185
3	66
3	300
3	167
3	268
3	45
3	145
3	12
3	248
3	115
3	350
3	216
3	88
3	310
3	200
3	60
3	280
4	160
4	300
4	115
4	268
4	50
4	185
4	3
4	130
4	270
4	60
4	205
4	350
4	135
4	280
4	65
4	212
4	345
4	260
4	125
4	48
4	185
4	310
4	133
4	260
4	40
4	195
4	340
4	125
4	255
4	20
4	175
4	325
4	115
4	225
4	25
4	185
4	320
4	105
4	265
4	60
5	95
5	238
5	73
5	202
5	318
5	92
5	255
5	43
5	178
5	315
5	76
5	255
5	45
5	188
5	331
5	105
5	252
5	25
5	323
5	172
5	85
5	255
5	30
5	316
5	168
5	95
5	240
5	25
5	168
5	320
5	85
5	255
5	43
5	165
5	308
6	140
6	350
6	145
6	330
6	130
6	280
6	90
6	230
6	30
6	166
6	97
6	332
6	240
6	30
6	155
6	318
6	105
6	235
6	20
6	183
6	323
6	106
6	248
6	74
6	197
6	327
6	123
6	258
6	38
6	153
6	272
6	60
7	175
7	328
7	145
7	335
7	102
7	246
7	55
7	177
7	331
7	105
7	247
7	45
7	195
7	358
7	135
7	275
7	45
7	187
7	357
7	143
7	265
7	65
7	205
7	345
7	132
7	288
7	80
7	195
7	10
7	133
7	75
7	258
7	200
7	15
7	120
7	247
7	28
8	300
8	170
8	35
8	235
8	90
8	348
8	240
8	92
8	325
8	183
8	75
8	320
8	215
8	130
8	13
8	236
8	203
8	100
8	1
8	273
8	122
8	344
8	168
8	20
8	215
8	45
8	237
8	70
8	320
8	175
8	5
8	225
8	90
8	205
8	345
9	180
9	333
9	116
9	325
9	118
9	295
9	85
9	242
9	33
9	200
9	345
9	155
9	273
9	80
9	223
9	358
9	148
9	310
9	85
9	20
9	220
9	135
9	303
9	80
9	220
9	3
9	135
9	290
9	77
9	215
9	0
9	295
9	140
9	53
9	215
9	335
9	135
9	290
10	5
10	160
10	320
10	145
10	5
10	165
10	325
10	120
10	290
10	60
10	200
10	318
10	130
10	280
10	65
10	190
10	358
10	160
10	268
10	78
10	265
10	45
10	190
10	318
10	75
10	285
10	33
10	200
10	320
10	128
10	287
10	25
10	188
10	313
11	105
11	262
11	35
11	183
11	333
11	85
11	232
11	2
11	152
11	285
11	48
11	170
11	306
11	72
11	237
11	3
11	294
11	165
11	80
11	270
11	3
11	300
11	170
11	85
11	233
12	115
12	320
12	100
12	285
12	60
12	180
12	325
12	134
12	278
12	68
12	264
12	20
12	205
12	10
12	132
12	272
12	58
12	207
12	345
12	110
12	216
12	10
12	125
12	256
12	60
13	203
13	100
13	359
13	255
13	120
13	340
13	235
13	355
13	128
13	230
13	105
13	325
13	205
13	90
13	314
13	184
13	65
13	288
13	152
13	7
13	269
13	142
13	20
13	280
13	160
13	0
13	90
13	295
13	135
13	0
13	232
14	335
14	215
14	133
14	269
14	33
14	188
14	310
14	245
14	98
14	10
14	125
14	275
14	178
14	298
14	45
14	125
14	247
14	29
14	295
14	170
14	242
14	355
14	78
14	253
14	114
14	335
15	165
15	27
15	205
15	12
15	171
15	320
15	120
15	285
15	85
15	218
15	355
15	132
15	283
15	66
15	7
15	240
15	152
15	339
15	112
15	245
15	30
15	170
15	325
15	128
15	260
15	40
15	187
15	325
15	95
15	245
15	350
15	180
15	325
15	230
15	70
