event,landmark_time_s,activity_peak_time_s,c1_at_landmark,c2_at_landmark,parent_mean_at_landmark,landmark_mode,ara_handover_ridge_frequency_hz,ara_handover_median_excess_frequency_hz,ara_handover_centroid_excess_frequency_hz,published_imr_fc_hz,absolute_percent_difference,absolute_log_frequency_error,orientation_invariant_auc,frames_below_fc,frames_above_fc,rho_insp,rho_post,gr_quantile_pct,h1_l1_lag_ms,h1_l1_activity_corr
GW170104,-0.04021964491790292,-0.0172362327575683,0.3744405927616173,0.3744405927616172,0.37444059276161723,zero_crossing_nearest_activity_peak,75.71988758253929,167.07002810436518,220.22752185239594,143.0,47.04902966255994,0.6358037885667535,0.6928312159709619,19,58,10.9,8.5,24.4,4.0,0.13012391796747388
GW170809,-0.06771508392695005,-0.0609862804412841,0.7208214372999042,0.7208214372999041,0.7208214372999042,zero_crossing_nearest_activity_peak,72.0,106.21941046135629,183.8876374599353,136.0,47.05882352941176,0.6359887667199967,0.5411807580174927,28,49,10.6,7.1,14.7,-8.0,0.2874623887599221
GW170814,0.02719254385828406,-0.003173828125,0.14886233478786107,0.14886233478786104,0.14886233478786104,zero_crossing_nearest_activity_peak,280.0,280.0,271.3257794916354,161.0,73.91304347826086,0.5533852381847866,0.7785714285714286,7,70,15.3,7.2,7.8,0.0,0.6891250092203417
GW170818,-0.042115221232639256,-0.0250487327575683,0.6801302760436609,0.680130276043661,0.6801302760436609,zero_crossing_nearest_activity_peak,80.0,122.9521683969452,192.2781027097936,128.0,37.5,0.4700036292457356,0.6280769230769231,25,52,9.3,7.2,25.5,-8.0,0.40890874777065117
