gate,score,threshold,rule,result
Child orientation,0.9942114512981955,0.8,>= threshold + control margin,PASS
Closing relation,0.9995591541679826,0.7,>= threshold + control margin,PASS
Child radial histories,0.9993758833860338,0.5,>= threshold,PASS
Common-horizon timing,37.54219332075036,11.371038902293975,<= threshold (M),FAIL
