split,run,period,field_G,time_us,parent_ARA,state_x_L,state_x_C,spin_radius,rational_closure_R,irrational_parent_I,coupled_amount_A,coupled_balance_B,local_loss,null_loss,raw_loss_ratio_q,child_x,child_anti_x,wrong_frequency_child_x,cycle_bins
development,EMU00069983,RF on,50.0,2.2829999923706055,1.290480240652085,1.0148348029236454,1.1047614798208734,0.902424372132352,1.4889175935288748,0.9164996181215473,1.202708605825211,0.7620296501435866,0.4976440653327165,1.0859667707285794,0.45824980906077367,0.6284928771647461,1.3715071228352538,0.7912667925465342,92
development,EMU00069983,RF on,50.0,2.3469998836517334,1.3107961426068178,1.0988198068058794,1.080320853107685,1.4425000282156764,1.4931403891016894,0.8245762831511787,1.1588583361264342,0.711541917977246,0.44463746513279506,1.0784629008090807,0.41228814157558935,0.583858391837276,1.416141608162724,0.8075965087194412,92
development,EMU00069983,RF on,50.0,2.4110000133514404,1.3305304054176792,0.9109194939279016,1.0832771660349436,0.9191045108168229,1.511550139667754,0.7920418184691366,1.1517959790684453,0.6876580860352404,0.42220590641439254,1.0661202390309006,0.3960209092345683,0.5673567016294974,1.4326432983705026,0.8136105113857743,92
development,EMU00069983,RF on,50.0,2.4749999046325684,1.3496995384347905,1.3669458186500314,1.0636164819624498,2.2785985951450707,1.515409567141726,0.8688344640328592,1.1921220155872927,0.7288133703369014,0.4714485584986604,1.0852436868361388,0.4344172320164296,0.6057055399505322,1.3942944600494678,0.901410044977642,92
development,EMU00069983,RF on,50.0,2.5390000343322754,1.3683198640131937,0.5818673245165839,1.0723206398916574,0.45281316331129745,1.4512082262065564,0.8609124314254578,1.1560603288160072,0.7446950734026996,0.5019814687720513,1.166161505975455,0.4304562157127289,0.6018446576475645,1.3981553423524355,0.9160117976870904,92
development,EMU00069983,RF on,50.0,2.6029999256134033,1.3864069596019823,0.9157333839810908,1.0593277910454204,1.242604532573329,1.4405743979467598,0.6774409433131009,1.0590076706299303,0.6396940854170757,0.3946857995919916,1.1652257026619515,0.33872047165655045,0.5060361424628298,1.49396385753717,0.9380153992818394,92
development,EMU00069983,RF on,50.0,2.6670000553131104,1.4039762262104571,1.1021696862414985,1.061150946703015,1.532342438537731,1.4342276258372646,0.6638900649364453,1.049058845386855,0.6328434938192722,0.3912605160680817,1.1786906800767907,0.33194503246822266,0.4984365336054393,1.5015634663945607,0.9325538666381998,92
development,EMU00069983,RF on,50.0,2.7309999465942383,1.4210423619895745,1.3359908536515221,1.09000805219809,1.4942516760410993,1.4169982625735615,0.7279002176840857,1.0724492401288237,0.6787269648275478,0.43364042141737547,1.191483148053072,0.3639501088420429,0.5336707061096637,1.4663292938903363,0.9473108721151364,92
development,EMU00069983,RF on,50.0,2.7950000762939453,1.4376198986099702,0.879480839969513,1.0976458470729644,1.022040119701148,1.3947654921229162,0.811536558839306,1.103151025481111,0.7356531790246101,0.4851202950261123,1.1955599282426708,0.405768279419653,0.577290418855044,1.422709581144956,0.8999209076337367,92
development,EMU00069983,RF on,50.0,2.8589999675750732,1.4537227045580847,1.243797642727797,1.0982927373803357,1.0142596526223662,1.3719579086064384,0.7721968456160199,1.072077377111229,0.7202808883971474,0.45535729831705096,1.1793813997097846,0.38609842280800993,0.5571010203241373,1.4428989796758627,0.8916349089302207,92
development,EMU00069983,RF on,50.0,2.922999858856201,1.4693644338095633,0.946897884777626,1.1304124645095033,1.0966951082425267,1.3518030143464417,0.904247723775869,1.1280253690611555,0.8016200243160887,0.5546273112717897,1.2267154158947313,0.4521238618879345,0.6227070207359853,1.3772929792640147,0.9143244630895464,92
