split,run,period,field_G,scored_rows,baseline_mse,child_mse,wrong_mse,reverse_mse,baseline_minus_child,wrong_minus_child,reverse_minus_child
development,EMU00069983,RF off,50.0,28,0.030834092047145812,0.030604478981253267,0.030438274645968082,0.03161347437623207,0.00022961306589254493,-0.0001662043352851847,0.0010089953949788018
development,EMU00069989,RF off,86.0,10,0.06032198466312087,0.059788496692653334,0.059648673433728615,0.06147490675915016,0.0005334879704675388,-0.0001398232589247192,0.0016864100664968282
development,EMU00069995,RF off,122.0,25,0.05748161441879828,0.058411841751199144,0.05761577062917749,0.05909782855748925,-0.0009302273324008625,-0.0007960711220216521,0.0006859868062901037
development,EMU00069995,RF on,122.0,13,0.03608443606586831,0.035226174367733024,0.03631076416641328,0.03566050938733087,0.0008582616981352847,0.0010845897986802577,0.00043433501959784515
development,EMU00070001,RF off,158.0,26,0.07283325937799154,0.07343637135297817,0.07294705625748783,0.07243574896534087,-0.0006031119749866365,-0.0004893150954903419,-0.0010006223876373038
development,EMU00070007,RF off,194.0,8,0.07704126743374733,0.07863374019394528,0.07806389902963891,0.07853785791517762,-0.0015924727601979577,-0.0005698411643063755,-9.58822787676672e-05
development,EMU00070007,RF on,194.0,31,0.04410290645024303,0.043578334674144,0.04373251318787869,0.04460285295374571,0.0005245717760990268,0.00015417851373469155,0.0010245182796017119
development,EMU00070013,RF off,230.0,20,0.05703474947195493,0.05701138272020699,0.05615576350572411,0.055546262107439535,2.3366751747938563e-05,-0.0008556192144828778,-0.0014651206127674551
development,EMU00070013,RF on,230.0,19,0.06061568982255404,0.060650933465269445,0.06153073169504083,0.06024146606992518,-3.5243642715405976e-05,0.0008797982297713836,-0.0004094673953442679
development,EMU00070019,RF off,266.0,36,0.041728556207300795,0.04117552305466766,0.04161070130641039,0.041003185310397955,0.0005530331526331367,0.00043517825174273217,-0.000172337744269703
development,EMU00070019,RF on,266.0,30,0.07228414181134495,0.07284237390805173,0.07180795488263562,0.07096981350582672,-0.0005582320967067872,-0.0010344190254161084,-0.0018725604022250125
development,EMU00070025,RF off,302.0,21,0.0830565421695653,0.08163014830046271,0.08310220520736793,0.08382355550353356,0.0014263938691025935,0.001472056906905217,0.0021934072030708462
development,EMU00070025,RF on,302.0,14,0.05965031897203326,0.05821596305711463,0.058011073893620965,0.05853819715374127,0.0014343559149186322,-0.00020488916349366282,0.0003222340966266418
development,EMU00070031,RF off,338.0,37,0.05699638605501601,0.05706456496283239,0.0574398778439896,0.0572551952143293,-6.81789078163797e-05,0.00037531288115721234,0.00019063025149691076
development,EMU00070031,RF on,338.0,37,0.06128309746199929,0.061421214557321475,0.06105416006689418,0.06104799811938734,-0.00013811709532218774,-0.0003670544904272946,-0.000373216437934136
development,EMU00070037,RF off,374.0,34,0.06602374226474843,0.06543404778212836,0.06572179276911048,0.06438335778447192,0.0005896944826200706,0.00028774498698212747,-0.0010506899976564371
development,EMU00070037,RF on,374.0,40,0.0725038990612445,0.07063420756176127,0.0728842417231368,0.07326789033360503,0.0018696914994832392,0.002250034161375536,0.0026336827718437678
development,EMU00070043,RF off,410.0,17,0.06584605985804036,0.06535606958689107,0.06595915282559285,0.06721969573911594,0.0004899902711492932,0.0006030832387017848,0.0018636261522248787
development,EMU00070043,RF on,410.0,32,0.10075658437073545,0.1012275074894785,0.10088419668526036,0.10078526497724091,-0.00047092311874304127,-0.000343310804218136,-0.00044224251223758115
development,EMU00070049,RF off,446.0,14,0.04044699783657511,0.040763589084465125,0.039443427999874006,0.04041984318667215,-0.0003165912478900121,-0.001320161084591119,-0.0003437458977929783
development,EMU00070049,RF on,446.0,40,0.0886410425255864,0.08874961598895578,0.08879211762254383,0.09067356746999256,-0.00010857346336938523,4.2501633588043486e-05,0.001923951481036773
development,EMU00070055,RF off,482.0,38,0.1225342258797864,0.1239069657357422,0.12216280806197967,0.12407877600856378,-0.001372739855955804,-0.001744157673762528,0.00017181027282157924
development,EMU00070055,RF on,482.0,12,0.12934369681934008,0.12898200139396845,0.130399747260862,0.12918150869650907,0.000361695425371622,0.001417745866893555,0.0001995073025406191
