time (s)	frame	L(t) (um)
0	39	88.719
0.5	40	87.241
1	41	82.731
1.5	42	80.886
2	43	78.221
2.5	44	76.786
3	45	75.133
3.5	46	75.133
4	47	74.108
4.5	48	72.547
5	49	69.759
5.5	50	69.144
6	51	66.807
6.5	52	65.372
7	53	65.372
7.5	54	65.372
8	55	63.719
8.5	56	62.694
9	57	62.079
9.5	58	60.223
10	59	57.968
10.5	60	57.148
11	61	54.612
11.5	62	52.767
12	63	51.742
12.5	64	51.127
13	65	50.307
13.5	66	48.451
14	67	47.606
14.5	68	45.966
15	69	44.313
15.5	70	42.058
16	71	41.033
16.5	72	37.548
17	73	36.523
17.5	74	34.883
18	75	33.23
18.5	76	29.95
19	77	27.481
19.5	78	25.144
20	79	22.889
20.5	80	20.829
21	81	19.189
21.5	82	14.908
22	83	12.858
22.5	84	9.552
23	85	8.732
23.5	86	6.272
24	87	4.181
24.5	88	1.645
25	89	0.415
