time (s)	frame	L(t) (um)
0	126	101.552
0.5	127	100.904
1	128	99.709
1.5	129	99.504
2	130	98.889
2.5	131	98.044
3	132	97.174
3.5	133	96.559
4	134	95.979
4.5	135	94.682
5	136	93.369
5.5	137	93.369
6	138	92.63
6.5	139	92.05
7	140	91.592
7.5	141	90.944
8	142	90.739
8.5	143	90.091
9	144	89.801
9.5	145	88.884
10	146	88.884
10.5	147	88.236
11	148	87.946
11.5	149	87.536
12	150	86.432
12.5	151	86.432
13	152	85.974
13.5	153	85.359
14	154	84.901
14.5	155	84.286
15	156	84.081
15.5	157	83.501
16	158	82.188
16.5	159	82.188
17	160	81.73
17.5	161	81.082
18	162	80.434
18.5	163	79.854
19	164	79.396
19.5	165	79.191
20	166	78.321
20.5	167	77.911
21	168	77.911
21.5	169	77.172
22	170	77.172
22.5	171	76.967
23	172	76.557
23.5	173	75.26
24	174	74.612
24.5	175	74.322
25	176	73.742
25.5	177	73.452
26	178	72.582
26.5	179	72.292
27	180	71.422
27.5	181	71.012
28	182	69.987
28.5	183	69.987
29	184	69.339
29.5	185	69.339
30	186	68.494
30.5	187	67.914
31	188	67.456
31.5	189	67.456
32	190	67.166
32.5	191	66.249
33	192	66.044
33.5	193	65.586
34	194	65.128
34.5	195	64.103
35	196	63.898
35.5	197	63.898
36	198	63.898
36.5	199	63.159
37	200	62.134
37.5	201	61.395
38	202	60.937
38.5	203	60.527
39	204	59.788
39.5	205	59.049
40	206	58.844
40.5	207	58.639
41	208	57.264
41.5	209	57.264
42	210	56.525
42.5	211	56.525
43	212	55.075
43.5	213	54.87
44	214	54.87
44.5	215	54.222
45	216	53.764
45.5	217	53.116
46	218	53.116
46.5	219	52.826
47	220	51.956
47.5	221	51.751
48	222	51.103
48.5	223	51.103
49	224	50.283
49.5	225	48.805
50	226	48.805
50.5	227	48.347
51	228	48.347
51.5	229	47.322
52	230	46.864
52.5	231	46.406
53	232	45.758
53.5	233	45.143
54	234	44.853
54.5	235	44.008
55	236	43.598
55.5	237	42.95
56	238	42.745
56.5	239	42.097
57	240	41.358
57.5	241	40.948
58	242	40.538
58.5	243	38.786
59	244	38.786
59.5	245	38.786
60	246	38.376
60.5	247	38.171
61	248	37.966
61.5	249	37.508
62	250	37.303
62.5	251	36.433
63	252	35.613
63.5	253	34.696
64	254	34.696
64.5	255	33.957
65	256	33.309
65.5	257	32.851
66	258	32.006
66.5	259	31.596
67	260	30.401
67.5	261	30.111
68	262	29.266
68.5	263	28.527
69	264	28.069
69.5	265	27.152
70	266	26.947
70.5	267	26.102
71	268	25.522
71.5	269	25.232
72	270	24.362
72.5	271	23.445
73	272	22.865
73.5	273	22.217
74	274	21.927
74.5	275	20.435
75	276	20.435
75.5	277	20.435
76	278	20.23
76.5	279	20.23
77	280	18.577
77.5	281	16.887
78	282	16.477
78.5	283	16.272
79	284	15.624
79.5	285	15.624
80	286	14.599
80.5	287	13.984
81	288	13.526
81.5	289	13.526
82	290	12.656
82.5	291	12.656
83	292	11.496
83.5	293	10.757
84	294	10.347
84.5	295	10.142
85	296	9.403
85.5	297	8.823
86	298	8.084
86.5	299	7.345
87	300	6.428
