time (s)	frame	L(t) (um)
0	35	103.436
0.5	36	98.448
1	37	95.752
1.5	38	94.727
2	39	93.277
2.5	40	92.082
3	41	91.262
3.5	42	90.237
4	43	89.007
4.5	44	87.354
5	45	84.619
5.5	46	83.799
6	47	83.184
6.5	48	81.954
7	49	81.339
7.5	50	80.519
8	51	79.474
8.5	52	78.244
9	53	76.104
9.5	54	75.079
10	55	73.587
10.5	56	73.382
11	57	72.357
11.5	58	70.667
12	59	70.667
12.5	60	69.027
13	61	68.412
13.5	62	67.592
14	63	66.157
14.5	64	65.577
15	65	63.527
15.5	66	63.069
16	67	61.416
16.5	68	60.596
17	69	59.981
17.5	70	58.751
18	71	58.136
18.5	72	57.111
19	73	55.661
19.5	74	55.046
20	75	54.841
20.5	76	54.021
21	77	52.996
21.5	78	52.381
22	79	50.728
22.5	80	50.148
23	81	49.328
23.5	82	48.081
24	83	47.791
24.5	84	46.874
25	85	46.135
25.5	86	45.725
26	87	44.275
26.5	88	43.25
27	89	42.635
27.5	90	41.61
28	91	40.995
28.5	92	40.347
29	93	39.889
29.5	94	39.479
30	95	37.534
30.5	96	36.099
31	97	35.279
31.5	98	34.869
32	99	34.13
32.5	100	33.105
33	101	32.285
33.5	102	31.875
34	103	29.14
34.5	104	28.32
35	105	27.475
35.5	106	26.655
36	107	25.28
36.5	108	24.87
37	109	23.378
37.5	110	22.92
38	111	21.69
38.5	112	21.232
39	113	19.387
39.5	114	18.567
40	115	16.107
40.5	116	14.273
