time (s)	frame	L(t) (um)
0	32	97.292
0.5	33	94.798
1	34	92.063
1.5	35	89.603
2	36	85.498
2.5	37	84.883
3	38	84.268
3.5	39	83.021
4	40	82.373
4.5	41	81.348
5	42	79.503
5.5	43	79.093
6	44	78.273
6.5	45	76.328
7	46	75.713
7.5	47	73.857
8	48	71.184
8.5	49	69.692
9	50	67.027
9.5	51	65.387
10	52	63.937
10.5	53	61.682
11	54	59.632
11.5	55	56.697
12	56	55.044
12.5	57	50.898
13	58	49.258
13.5	59	46.789
14	60	44.329
14.5	61	41.302
15	62	39.446
15.5	63	36.205
16	64	32.899
16.5	65	29.619
17	66	26.08
17.5	67	22.8
18	68	19.923
18.5	69	17.053
19	70	13.773
19.5	71	10.838
20	72	8.778
20.5	73	5.908
21	74	4.218
21.5	75	3.173
22	76	0.836
