time (s)	frame	L(t) (µm)
0	5	0.151
0.5	6	0.151
1	7	3.179
1.5	8	4.467
2	9	5.526
2.5	10	7.131
3	11	7.517
3.5	12	8.353
4	13	9.004
4.5	14	9.867
5	15	10.472
5.5	16	11.157
6	17	12.077
6.5	18	13.136
7	19	13.908
7.5	20	15.196
8	21	16.205
8.5	22	16.923
9	23	17.786
9.5	24	18.622
10	25	19.91
10.5	26	20.746
11	27	22.108
11.5	28	22.793
12	29	23.779
12.5	30	24.464
13	31	25.346
13.5	32	26.889
14	33	27.704
14.5	34	28.476
15	35	29.838
15.5	36	30.317
16	37	31.454
16.5	38	32.374
17	39	33.36
17.5	40	34.369
18	41	35.355
18.5	42	36.341
19	43	37.098
19.5	44	38.018
