time (s)	frame	L(t) (um)
0	15	0
0.5	16	1.025
1	17	1.435
1.5	18	1.435
2	19	4.483
2.5	20	4.893
3	21	5.303
3.5	22	7.763
4	23	7.763
4.5	24	9.403
5	25	14.028
5.5	26	18.58
6	27	26.3
6.5	28	31.237
7	29	32.89
7.5	30	33.71
8	31	34.358
8.5	32	35.671
9	33	37.361
9.5	34	39.83
10	35	43.41
10.5	36	45.879
11	37	47.713
11.5	38	50.173
12	39	51.826
12.5	40	53.056
13	41	54.89
13.5	42	56.085
14	43	58.422
14.5	44	60.174
15	45	62.224
15.5	46	64.284
16	47	65.924
16.5	48	67.769
17	49	68.929
17.5	50	70.582
18	51	71.402
18.5	52	73.431
19	53	73.636
19.5	54	74.681
20	55	77.558
20.5	56	79.198
21	57	81.871
21.5	58	82.916
22	59	83.941
22.5	60	84.556
23	61	84.556
23.5	62	86.446
24	63	87.676
24.5	64	89.51
25	65	90.33
25.5	66	90.535
