partition,metric,value
development,auc_D,0.4899151146476086
development,auc_H_child,0.5311873154667077
development,auc_H_grandchild,0.5247009304933448
development,forward_p1_concentration,0.09348441926345609
development,forward_p1_hit_rate,0.36585365853658536
development,forward_p2_concentration,0.09473684210526316
development,forward_p2_hit_rate,0.17073170731707318
development,reverse_p1_concentration,0.08888888888888889
development,reverse_p1_hit_rate,0.36585365853658536
development,reverse_p2_concentration,0.07407407407407407
development,reverse_p2_hit_rate,0.17073170731707318
diagnostic,auc_D,0.6524993218351389
diagnostic,auc_H_child,0.5951926173126858
diagnostic,auc_H_grandchild,0.6166563065962338
diagnostic,forward_p1_concentration,0.06293706293706294
diagnostic,forward_p1_hit_rate,0.6585365853658537
diagnostic,forward_p2_concentration,0.08108108108108109
diagnostic,forward_p2_hit_rate,0.3170731707317073
diagnostic,reverse_p1_concentration,0.06158357771260997
diagnostic,reverse_p1_hit_rate,0.5853658536585366
diagnostic,reverse_p2_concentration,0.04132231404958678
diagnostic,reverse_p2_hit_rate,0.34146341463414637
