repetition,auc,crossing_concentration,event_hit_rate
0,0.577719735292582,0.06764705882352941,0.6463414634146342
1,0.5628368641951939,0.056640625,0.5487804878048781
2,0.588047865307173,0.06457925636007827,0.5609756097560976
3,0.5370653835325706,0.05083088954056696,0.47560975609756095
4,0.5635715791198991,0.054634146341463415,0.5
5,0.6046319512967029,0.062317429406037,0.5853658536585366
6,0.5941586409876498,0.06378802747791953,0.5853658536585366
7,0.6154622865652486,0.056695992179863146,0.5365853658536586
8,0.586245027390796,0.06262230919765166,0.6219512195121951
9,0.5861928001576495,0.06581532416502947,0.5853658536585366
10,0.5805286113501879,0.06360078277886497,0.5975609756097561
11,0.6134149752408344,0.0654296875,0.5853658536585366
12,0.5744900863041568,0.06084396467124632,0.524390243902439
13,0.5872189551411553,0.05610236220472441,0.5487804878048781
14,0.613487793220947,0.06286836935166994,0.573170731707317
15,0.5945859050308943,0.050731707317073174,0.524390243902439
16,0.5710036354533163,0.05680705190989226,0.5487804878048781
17,0.5911321120854368,0.06640625,0.5609756097560976
18,0.5769718127710931,0.05647517039922103,0.5487804878048781
19,0.5898626749449104,0.07149853085210578,0.6341463414634146
20,0.6387826202383861,0.05847953216374269,0.5365853658536586
21,0.5751220675614696,0.06744868035190615,0.5853658536585366
22,0.5475081536710151,0.061764705882352944,0.524390243902439
23,0.6004108186398159,0.06256109481915934,0.5609756097560976
24,0.5785199613476437,0.059745347698334964,0.573170731707317
25,0.5782632493793806,0.0594541910331384,0.573170731707317
26,0.5843817979714853,0.0693359375,0.6463414634146342
27,0.5837897107764015,0.0546875,0.5853658536585366
28,0.5597564377906027,0.06647116324535679,0.6341463414634146
29,0.587203367308599,0.0556640625,0.5853658536585366
30,0.6273074249737149,0.07051909892262488,0.5853658536585366
31,0.6026542610904966,0.07820136852394917,0.6951219512195121
32,0.5743464663608497,0.06679764243614932,0.5975609756097561
33,0.5263727227493052,0.060546875,0.5365853658536586
34,0.57304734378266,0.05801376597836775,0.4634146341463415
35,0.5834454813092301,0.06037000973709834,0.5975609756097561
36,0.5955229649394418,0.0654296875,0.5975609756097561
37,0.5822565302496289,0.056695992179863146,0.524390243902439
38,0.6097439914896972,0.06562193927522038,0.5487804878048781
39,0.5854799136701004,0.06536585365853659,0.6463414634146342
40,0.5905064830689207,0.05680705190989226,0.524390243902439
41,0.625793644001665,0.06549364613880743,0.5975609756097561
42,0.615612503201992,0.05642023346303502,0.5121951219512195
43,0.6001330820322758,0.06647116324535679,0.6341463414634146
44,0.5850593449310701,0.0634765625,0.6097560975609756
45,0.5731384920877924,0.060903732809430254,0.573170731707317
46,0.5678755187642612,0.05968688845401174,0.5609756097560976
47,0.6190143863105738,0.0595703125,0.6097560975609756
48,0.5708227767608506,0.06470588235294118,0.573170731707317
49,0.5703509748324473,0.060903732809430254,0.5365853658536586
50,0.610994588364335,0.06164383561643835,0.5975609756097561
51,0.6159882818457826,0.07309941520467836,0.6463414634146342
52,0.5492210845301219,0.060665362035225046,0.5975609756097561
53,0.5782450318031644,0.06385068762278978,0.5365853658536586
54,0.583081731906619,0.054901960784313725,0.5121951219512195
55,0.5987472167319252,0.06842619745845552,0.6097560975609756
56,0.5882620473999992,0.04892367906066536,0.5
57,0.5982519395295345,0.05893909626719057,0.5487804878048781
58,0.5925286091547274,0.0537109375,0.5121951219512195
59,0.532474304817003,0.05577299412915851,0.5487804878048781
60,0.6131968160141398,0.05968688845401174,0.5853658536585366
61,0.5579218555660449,0.059803921568627454,0.5487804878048781
62,0.6186376340285507,0.068359375,0.6463414634146342
63,0.5834845676822603,0.0654296875,0.573170731707317
64,0.5649921943909085,0.0647693817468106,0.5609756097560976
65,0.6016689934538273,0.0732421875,0.6829268292682927
66,0.5921480218430223,0.05577299412915851,0.524390243902439
67,0.5680185623306429,0.060784313725490195,0.5609756097560976
68,0.6165659397710144,0.06280667320902845,0.573170731707317
69,0.5850128705860345,0.0550098231827112,0.524390243902439
70,0.5926390757740242,0.06731707317073171,0.6219512195121951
71,0.5930526548734965,0.07065750736015702,0.6341463414634146
72,0.5933910436845444,0.058881256133464184,0.5487804878048781
73,0.5832944158803978,0.056695992179863146,0.5975609756097561
74,0.5696424154122333,0.05767350928641251,0.5487804878048781
75,0.5849479251288806,0.06549364613880743,0.6097560975609756
76,0.5633885708091394,0.07114624505928854,0.6097560975609756
77,0.5544084764980782,0.05386875612144956,0.4878048780487805
78,0.6097362510362774,0.06262230919765166,0.5487804878048781
79,0.5940969733038706,0.07556427870461237,0.6585365853658537
